module_path,module_type,input_shape,output_shape,param_count,model_internal_name,model_display_name,layer_index
extractor.residual_projection.0,Linear,"(2, 72)","(2, 64)",4672,controlled_stats_mlp,Statistical Summary MLP,1
extractor.residual_projection.1,ReLU,"(2, 64)","(2, 64)",0,controlled_stats_mlp,Statistical Summary MLP,2
classifier.net.0,Linear,"(2, 64)","(2, 64)",4160,controlled_stats_mlp,Statistical Summary MLP,3
classifier.net.1,ReLU,"(2, 64)","(2, 64)",0,controlled_stats_mlp,Statistical Summary MLP,4
classifier.net.2,Dropout,"(2, 64)","(2, 64)",0,controlled_stats_mlp,Statistical Summary MLP,5
classifier.net.3,Linear,"(2, 64)","(2, 5)",325,controlled_stats_mlp,Statistical Summary MLP,6
extractor.encoder.0,Conv1d,"(2, 18, 512)","(2, 32, 512)",5216,controlled_all_channel_1d_cnn,All-Channel 1D CNN,1
extractor.encoder.1,BatchNorm1d,"(2, 32, 512)","(2, 32, 512)",64,controlled_all_channel_1d_cnn,All-Channel 1D CNN,2
extractor.encoder.2,ReLU,"(2, 32, 512)","(2, 32, 512)",0,controlled_all_channel_1d_cnn,All-Channel 1D CNN,3
extractor.encoder.3,Conv1d,"(2, 32, 512)","(2, 64, 512)",10304,controlled_all_channel_1d_cnn,All-Channel 1D CNN,4
extractor.encoder.4,BatchNorm1d,"(2, 64, 512)","(2, 64, 512)",128,controlled_all_channel_1d_cnn,All-Channel 1D CNN,5
extractor.encoder.5,ReLU,"(2, 64, 512)","(2, 64, 512)",0,controlled_all_channel_1d_cnn,All-Channel 1D CNN,6
extractor.encoder.6,AdaptiveAvgPool1d,"(2, 64, 512)","(2, 64, 1)",0,controlled_all_channel_1d_cnn,All-Channel 1D CNN,7
extractor.projection,Identity,"(2, 64)","(2, 64)",0,controlled_all_channel_1d_cnn,All-Channel 1D CNN,8
classifier.net.0,Linear,"(2, 64)","(2, 64)",4160,controlled_all_channel_1d_cnn,All-Channel 1D CNN,9
classifier.net.1,ReLU,"(2, 64)","(2, 64)",0,controlled_all_channel_1d_cnn,All-Channel 1D CNN,10
classifier.net.2,Dropout,"(2, 64)","(2, 64)",0,controlled_all_channel_1d_cnn,All-Channel 1D CNN,11
classifier.net.3,Linear,"(2, 64)","(2, 5)",325,controlled_all_channel_1d_cnn,All-Channel 1D CNN,12
extractor.encoder.0,Conv1d,"(2, 18, 512)","(2, 16, 512)",2032,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,1
extractor.encoder.1,BatchNorm1d,"(2, 16, 512)","(2, 16, 512)",32,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,2
extractor.encoder.2,ReLU,"(2, 16, 512)","(2, 16, 512)",0,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,3
extractor.encoder.3,Conv1d,"(2, 16, 512)","(2, 32, 512)",2592,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,4
extractor.encoder.4,BatchNorm1d,"(2, 32, 512)","(2, 32, 512)",64,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,5
extractor.encoder.5,ReLU,"(2, 32, 512)","(2, 32, 512)",0,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,6
extractor.encoder.6,AdaptiveAvgPool1d,"(2, 32, 512)","(2, 32, 1)",0,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,7
extractor.projection,Linear,"(2, 32)","(2, 64)",2112,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,8
classifier.net.0,Linear,"(2, 64)","(2, 64)",4160,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,9
classifier.net.1,ReLU,"(2, 64)","(2, 64)",0,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,10
classifier.net.2,Dropout,"(2, 64)","(2, 64)",0,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,11
classifier.net.3,Linear,"(2, 64)","(2, 5)",325,controlled_all_channel_1d_cnn_small,Compact All-Channel 1D CNN,12
extractor.shared_encoder.net.0,Conv1d,"(36, 1, 512)","(36, 16, 512)",160,controlled_shared_1d,Shared 1D Encoder,1
extractor.shared_encoder.net.1,BatchNorm1d,"(36, 16, 512)","(36, 16, 512)",32,controlled_shared_1d,Shared 1D Encoder,2
extractor.shared_encoder.net.2,ReLU,"(36, 16, 512)","(36, 16, 512)",0,controlled_shared_1d,Shared 1D Encoder,3
extractor.shared_encoder.net.3,Conv1d,"(36, 16, 512)","(36, 16, 512)",1296,controlled_shared_1d,Shared 1D Encoder,4
extractor.shared_encoder.net.4,BatchNorm1d,"(36, 16, 512)","(36, 16, 512)",32,controlled_shared_1d,Shared 1D Encoder,5
extractor.shared_encoder.net.5,ReLU,"(36, 16, 512)","(36, 16, 512)",0,controlled_shared_1d,Shared 1D Encoder,6
extractor.shared_encoder.net.6,AdaptiveAvgPool1d,"(36, 16, 512)","(36, 16, 1)",0,controlled_shared_1d,Shared 1D Encoder,7
extractor.shared_encoder.projection,Linear,"(36, 16)","(36, 64)",1088,controlled_shared_1d,Shared 1D Encoder,8
classifier.net.0,Linear,"(2, 64)","(2, 64)",4160,controlled_shared_1d,Shared 1D Encoder,9
classifier.net.1,ReLU,"(2, 64)","(2, 64)",0,controlled_shared_1d,Shared 1D Encoder,10
classifier.net.2,Dropout,"(2, 64)","(2, 64)",0,controlled_shared_1d,Shared 1D Encoder,11
classifier.net.3,Linear,"(2, 64)","(2, 5)",325,controlled_shared_1d,Shared 1D Encoder,12
extractor.shared_encoder.net.0,Conv1d,"(36, 1, 512)","(36, 16, 512)",160,controlled_shared_1d_identity,Shared 1D + Identity,1
extractor.shared_encoder.net.1,BatchNorm1d,"(36, 16, 512)","(36, 16, 512)",32,controlled_shared_1d_identity,Shared 1D + Identity,2
extractor.shared_encoder.net.2,ReLU,"(36, 16, 512)","(36, 16, 512)",0,controlled_shared_1d_identity,Shared 1D + Identity,3
extractor.shared_encoder.net.3,Conv1d,"(36, 16, 512)","(36, 16, 512)",1296,controlled_shared_1d_identity,Shared 1D + Identity,4
extractor.shared_encoder.net.4,BatchNorm1d,"(36, 16, 512)","(36, 16, 512)",32,controlled_shared_1d_identity,Shared 1D + Identity,5
extractor.shared_encoder.net.5,ReLU,"(36, 16, 512)","(36, 16, 512)",0,controlled_shared_1d_identity,Shared 1D + Identity,6
extractor.shared_encoder.net.6,AdaptiveAvgPool1d,"(36, 16, 512)","(36, 16, 1)",0,controlled_shared_1d_identity,Shared 1D + Identity,7
extractor.shared_encoder.projection,Linear,"(36, 16)","(36, 64)",1088,controlled_shared_1d_identity,Shared 1D + Identity,8
extractor.identity_embeddings.channel,Embedding,"(18,)","(18, 64)",1152,controlled_shared_1d_identity,Shared 1D + Identity,9
extractor.identity_embeddings.sensor,Embedding,"(18,)","(18, 64)",192,controlled_shared_1d_identity,Shared 1D + Identity,10
extractor.identity_embeddings.modality,Embedding,"(18,)","(18, 64)",128,controlled_shared_1d_identity,Shared 1D + Identity,11
extractor.identity_embeddings.axis,Embedding,"(18,)","(18, 64)",192,controlled_shared_1d_identity,Shared 1D + Identity,12
extractor.token_norm,LayerNorm,"(2, 18, 64)","(2, 18, 64)",128,controlled_shared_1d_identity,Shared 1D + Identity,13
classifier.net.0,Linear,"(2, 64)","(2, 64)",4160,controlled_shared_1d_identity,Shared 1D + Identity,14
classifier.net.1,ReLU,"(2, 64)","(2, 64)",0,controlled_shared_1d_identity,Shared 1D + Identity,15
classifier.net.2,Dropout,"(2, 64)","(2, 64)",0,controlled_shared_1d_identity,Shared 1D + Identity,16
classifier.net.3,Linear,"(2, 64)","(2, 5)",325,controlled_shared_1d_identity,Shared 1D + Identity,17
extractor.shared_encoder.net.0,Conv1d,"(36, 1, 512)","(36, 16, 512)",160,controlled_shared_1d_residual,Residual Channel-Shared Encoder,1
extractor.shared_encoder.net.1,BatchNorm1d,"(36, 16, 512)","(36, 16, 512)",32,controlled_shared_1d_residual,Residual Channel-Shared Encoder,2
extractor.shared_encoder.net.2,ReLU,"(36, 16, 512)","(36, 16, 512)",0,controlled_shared_1d_residual,Residual Channel-Shared Encoder,3
extractor.shared_encoder.net.3,Conv1d,"(36, 16, 512)","(36, 16, 512)",1296,controlled_shared_1d_residual,Residual Channel-Shared Encoder,4
extractor.shared_encoder.net.4,BatchNorm1d,"(36, 16, 512)","(36, 16, 512)",32,controlled_shared_1d_residual,Residual Channel-Shared Encoder,5
