feature_name,channel_index,channel_name,statistic,used_by,source,uses_metadata,uses_label,uses_subject_id,allowed
s0_ax_mean,0,s0_ax,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_ay_mean,1,s0_ay,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_az_mean,2,s0_az,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gx_mean,3,s0_gx,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gy_mean,4,s0_gy,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gz_mean,5,s0_gz,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_ax_mean,6,s1_ax,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_ay_mean,7,s1_ay,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_az_mean,8,s1_az,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gx_mean,9,s1_gx,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gy_mean,10,s1_gy,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s1_gz_mean,11,s1_gz,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_ax_mean,12,s2_ax,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_ay_mean,13,s2_ay,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_az_mean,14,s2_az,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gx_mean,15,s2_gx,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gy_mean,16,s2_gy,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s2_gz_mean,17,s2_gz,mean,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_ax_std,0,s0_ax,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_ay_std,1,s0_ay,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_az_std,2,s0_az,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
s0_gx_std,3,s0_gx,std,Statistical Summary MLP; Residual Channel-Shared Encoder residual branch,scaled IMU signal after train-only StandardScaler transform,False,False,False,True
