seed,fold_id,Shared 1D Encoder,Shared 1D + Identity,Residual Channel-Shared Encoder,Residual Channel-Shared + Identity,identity_effect_without_residual,identity_effect_with_residual,residual_effect_without_identity,residual_effect_with_identity,interaction_effect
42,1,0.0889,0.6928,0.8405,0.9111,0.6039,0.0706,0.7516,0.2183,-0.5333
42,2,0.3743,0.6670,0.7566,0.7441,0.2928,-0.0125,0.3823,0.0771,-0.3053
42,3,0.4689,0.6515,0.8725,0.8099,0.1826,-0.0626,0.4036,0.1584,-0.2452
42,4,0.3901,0.6129,0.9397,0.9495,0.2228,0.0097,0.5496,0.3365,-0.2131
42,5,0.1751,0.2769,0.5757,0.6034,0.1018,0.0277,0.4006,0.3265,-0.0741
42,6,0.1458,0.6381,0.8146,0.7814,0.4922,-0.0333,0.6688,0.1433,-0.5255
123,1,0.2440,0.1981,0.9702,0.9310,-0.0459,-0.0392,0.7262,0.7330,0.0067
123,2,0.3407,0.6347,0.6958,0.7183,0.2940,0.0225,0.3551,0.0836,-0.2715
123,3,0.4388,0.5317,0.8998,0.9092,0.0929,0.0094,0.4610,0.3775,-0.0834
123,4,0.3592,0.5344,0.9397,0.9499,0.1751,0.0102,0.5804,0.4155,-0.1649
123,5,0.1694,0.2920,0.5884,0.5278,0.1226,-0.0606,0.4190,0.2359,-0.1832
123,6,0.1594,0.5092,0.7761,0.8087,0.3498,0.0326,0.6167,0.2995,-0.3172
2025,1,0.2084,0.5872,0.9211,0.7773,0.3789,-0.1438,0.7127,0.1901,-0.5226
2025,2,0.2820,0.7092,0.7171,0.6959,0.4271,-0.0213,0.4351,-0.0133,-0.4484
2025,3,0.3473,0.6544,0.7944,0.8618,0.3071,0.0675,0.4471,0.2074,-0.2396
2025,4,0.5181,0.6257,0.9400,0.9205,0.1076,-0.0195,0.4219,0.2948,-0.1271
2025,5,0.2153,0.3519,0.6956,0.7155,0.1366,0.0198,0.4803,0.3635,-0.1168
2025,6,0.1248,0.1601,0.6698,0.7365,0.0352,0.0666,0.5450,0.5764,0.0314
