model_name,seed,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_weighted_f1,std_test_weighted_f1,min_test_macro_f1,max_test_macro_f1,mean_best_epoch,n_success_folds,n_failed_folds
controlled_2d_cnn,42,0.525,0.1857193222760267,0.46610335746740317,0.22537577664679578,0.46610335746740317,0.22537577664679576,0.13806533806533805,0.7057536923597278,92.5,6,0
controlled_2d_cnn,123,0.515,0.17708284313657646,0.4473582786799484,0.2243161317915426,0.44735827867994843,0.22431613179154256,0.13429522752497225,0.7631978504755357,85.0,6,0
controlled_2d_cnn,2025,0.47666666666666674,0.15336956093769788,0.4220627930370342,0.1731344312115622,0.4220627930370342,0.1731344312115622,0.2174603174603175,0.6457467933089298,83.33333333333333,6,0
controlled_all_channel_1d_cnn,42,0.8616666666666667,0.06962199524735142,0.8458635403848654,0.08914658575407704,0.8458635403848654,0.089146585754077,0.6945054945054945,0.9598997493734336,20.5,6,0
controlled_all_channel_1d_cnn,123,0.8116666666666666,0.11894209608974537,0.7753744305715529,0.14966178796416468,0.7753744305715528,0.14966178796416468,0.5301317199218504,0.9483687044662655,19.666666666666668,6,0
controlled_all_channel_1d_cnn,2025,0.8016666666666667,0.10318537794776073,0.7769455915979245,0.11273433809558735,0.7769455915979245,0.11273433809558733,0.6176005085015097,0.9209635167081975,21.666666666666668,6,0
controlled_all_channel_1d_cnn_small,42,0.8216666666666667,0.07903937134252917,0.8001229102679225,0.10030935379043483,0.8001229102679225,0.10030935379043474,0.625974025974026,0.9397171590194848,19.833333333333332,6,0
controlled_all_channel_1d_cnn_small,123,0.7400000000000001,0.182208671582886,0.7117699236456709,0.1992250084806549,0.7117699236456709,0.1992250084806549,0.3117647058823529,0.9068240788790867,24.166666666666668,6,0
controlled_all_channel_1d_cnn_small,2025,0.7800000000000001,0.11704699910719624,0.7565707147268071,0.13914663941613464,0.756570714726807,0.13914663941613467,0.5769739838705357,0.9386189258312021,25.0,6,0
controlled_flatten_mlp,42,0.71,0.20647840887931437,0.6784736387640304,0.25115647109975164,0.6784736387640304,0.2511564710997517,0.22808155699721966,0.9494351732991013,11.5,6,0
controlled_flatten_mlp,123,0.7433333333333333,0.17904065335994376,0.7177707189211501,0.22145825993794116,0.7177707189211501,0.22145825993794122,0.3140119864000461,0.8916568742655698,15.0,6,0
controlled_flatten_mlp,2025,0.75,0.16862186493255654,0.7175264163663712,0.20884414935485,0.7175264163663712,0.20884414935485,0.3866136624014797,0.9599937460913072,7.5,6,0
controlled_shared_1d,42,0.34166666666666673,0.11880188924797824,0.2738533455708423,0.14259096348490918,0.27385334557084234,0.14259096348490918,0.08888888888888889,0.4688888888888889,67.33333333333333,6,0
controlled_shared_1d,123,0.345,0.09358596760910971,0.2852653350176577,0.10254730299291194,0.2852653350176578,0.10254730299291194,0.1594405594405594,0.4388479625082254,67.0,6,0
controlled_shared_1d,2025,0.36333333333333334,0.11714188927203718,0.2826476502199989,0.1255317926115066,0.2826476502199989,0.12553179261150663,0.12483059500603359,0.5180618546390979,50.333333333333336,6,0
controlled_shared_1d_identity,42,0.6316666666666667,0.12785625609340445,0.5898687414127338,0.14209321720690307,0.5898687414127338,0.14209321720690304,0.27691323169584037,0.6928148595590456,114.16666666666667,6,0
controlled_shared_1d_identity,123,0.49666666666666665,0.13816254517375137,0.4499994399276295,0.1526705317285939,0.44999943992762953,0.15267053172859393,0.19805373119218456,0.6346658134893428,99.33333333333333,6,0
controlled_shared_1d_identity,2025,0.5566666666666666,0.17613126418163874,0.5147484315531684,0.194572085954967,0.5147484315531684,0.194572085954967,0.16007821007821005,0.7091575091575091,99.5,6,0
controlled_shared_1d_residual,42,0.805,0.10563301251660548,0.7999410242576589,0.11461155636565148,0.7999410242576589,0.11461155636565143,0.5757192676547515,0.9397248280175109,35.166666666666664,6,0
controlled_shared_1d_residual,123,0.8216666666666668,0.12720281268728123,0.8116762766762471,0.1377316736217724,0.8116762766762471,0.13773167362177235,0.588424250352476,0.9702135263110874,35.166666666666664,6,0
controlled_shared_1d_residual,2025,0.8016666666666666,0.09476579317219667,0.7896775378716717,0.10673477239214704,0.7896775378716718,0.10673477239214703,0.6698367808661926,0.9399812382739212,41.666666666666664,6,0
controlled_shared_1d_residual_identity,42,0.805,0.10128343069492331,0.7998874995372205,0.11321891334273003,0.7998874995372205,0.11321891334273002,0.6033851152305579,0.9494505494505494,36.833333333333336,6,0
controlled_shared_1d_residual_identity,123,0.8183333333333335,0.13396724309405725,0.8074953074913019,0.14835839440405738,0.8074953074913019,0.1483583944040574,0.5278388278388279,0.9498997493734336,31.833333333333332,6,0
controlled_shared_1d_residual_identity,2025,0.7983333333333333,0.0735791335154804,0.7845748070574264,0.08109065225201617,0.7845748070574267,0.08109065225201616,0.6958697180348355,0.9204815509693558,33.166666666666664,6,0
controlled_stats_mlp,42,0.7883333333333334,0.08112062349091971,0.7826818744584084,0.08439192618364556,0.7826818744584084,0.08439192618364559,0.6658595205963627,0.9103030303030304,32.666666666666664,6,0
controlled_stats_mlp,123,0.8433333333333334,0.07063206700139033,0.8341962012459573,0.08246689154134705,0.8341962012459573,0.08246689154134701,0.6851409460105111,0.9297171590194846,36.833333333333336,6,0
controlled_stats_mlp,2025,0.8433333333333333,0.08975274678557507,0.8352738373814194,0.09839058513679318,0.8352738373814192,0.09839058513679311,0.6867458123272077,0.959943620778024,35.333333333333336,6,0
feature_linear_svm_v1,42,0.735,0.12392874296680867,0.7164312884622475,0.13524885827826738,0.7164312884622474,0.13524885827826735,0.5202043148720754,0.9370002546473135,0.0,6,0
feature_linear_svm_v1,123,0.7549999999999999,0.11176612486199324,0.7299381861678822,0.12957844412121097,0.7299381861678822,0.12957844412121103,0.5435085354896676,0.9376056113502311,0.0,6,0
feature_linear_svm_v1,2025,0.7483333333333334,0.10975983884017972,0.7176112800538883,0.12628303323880558,0.7176112800538883,0.12628303323880558,0.5689097787458444,0.9143892339544515,0.0,6,0
feature_random_forest_v1,42,0.8150000000000001,0.08693867570496651,0.7899969529330484,0.10997684897973782,0.7899969529330484,0.10997684897973783,0.6188883580187928,0.9404987965963574,0.0,6,0
feature_random_forest_v1,123,0.7966666666666665,0.10077477638553985,0.7785944921702387,0.11432003927881708,0.7785944921702387,0.11432003927881709,0.5780096517542715,0.9258297258297258,0.0,6,0
feature_random_forest_v1,2025,0.805,0.09776672917374976,0.7849835323312867,0.11371390303010047,0.7849835323312867,0.11371390303010043,0.6427932576539387,0.9589462406251968,0.0,6,0
lee_style_cnn_lstm_2d_v1,42,0.6683333333333333,0.15993922456844523,0.6365632488102749,0.19419166019621925,0.6365632488102749,0.19419166019621928,0.23287892231991608,0.8419029317716197,38.5,6,0
lee_style_cnn_lstm_2d_v1,123,0.68,0.19680785892167346,0.6468697927254012,0.23683176211343585,0.6468697927254012,0.23683176211343587,0.1573932584269663,0.8288090823904778,32.666666666666664,6,0
lee_style_cnn_lstm_2d_v1,2025,0.6383333333333333,0.14564988461680597,0.5972487476915175,0.18527099706472897,0.5972487476915175,0.18527099706472894,0.22609571191660746,0.7572408175929877,39.833333333333336,6,0
rescnn_bigru_attention_lite_v1,42,0.7816666666666667,0.1193617284652925,0.7484522504781572,0.14657495483641264,0.7484522504781572,0.14657495483641259,0.5569273483547981,0.9799498746867169,19.666666666666668,6,0
rescnn_bigru_attention_lite_v1,123,0.7916666666666666,0.06039223643997814,0.7781057774680201,0.06889237318560555,0.7781057774680201,0.06889237318560555,0.6812202220635457,0.8650177479898842,15.166666666666666,6,0
rescnn_bigru_attention_lite_v1,2025,0.81,0.10661457061146319,0.7808344156723409,0.14946997064756562,0.7808344156723409,0.14946997064756565,0.4661313408908737,0.9018950389771356,19.166666666666668,6,0
