model_name,total_params,encoder_params,aggregation_params,head_params,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,macro_f1_ci_low,macro_f1_ci_high,mean_best_epoch,n_success_runs,n_failed_runs,result_type
controlled_stats_mlp,9157,0,4672,4485,0.825,0.08493461537493939,0.817383971028595,0.09203337539249694,0.817383971028595,0.09203337539249692,0.7743768338536736,0.8583650993157151,34.94444444444444,18,0,controlled_feature_extractor_3seed_full
channel_shared_posres_attention_v3,14742,2064,8193,4485,0.8216666666666668,0.08394773506308685,0.81082481387536,0.09561278754006769,0.81082481387536,0.09561278754006769,0.7644350120236636,0.8536918539514888,37.611111111111114,18,0,locked_full_supervised_matrix_readonly
channel_shared_posres_meanpool_v3_no_attention,14197,2064,7648,4485,0.8161111111111112,0.11131231782136886,0.8082207306853612,0.12258357310058857,0.8082207306853612,0.12258357310058858,0.7470583328306452,0.8602587330084919,32.72222222222222,18,0,v3_component_ablation_readonly
channel_shared_posres_attention_v3_residual_only_mlp,9189,0,0,2437,0.8111111111111112,0.1035422022864155,0.8035996113277815,0.11303229810423013,0.8035996113277815,0.11303229810423013,0.7488314223017043,0.8530115984885613,36.05555555555556,18,0,v3_component_ablation_readonly
controlled_shared_1d_residual,20021,2608,12928,4485,0.8094444444444444,0.11037673981123933,0.8004316129351925,0.12074831631564133,0.8004316129351925,0.1207483163156413,0.7422700792887282,0.8540042764680168,37.333333333333336,18,0,controlled_feature_extractor_3seed_full
controlled_all_channel_1d_cnn,20197,15712,0,4485,0.8250000000000002,0.10280780342194092,0.7993945208514475,0.12422437287984317,0.7993945208514475,0.12422437287984314,0.7404094533714112,0.8563844185203016,20.61111111111111,18,0,controlled_feature_extractor_3seed_full
controlled_shared_1d_residual_identity,21813,2736,14592,4485,0.8072222222222222,0.10618670954479482,0.7973192046953161,0.11786574041252466,0.7973192046953163,0.11786574041252465,0.7397056107022093,0.8493053303049378,33.94444444444444,18,0,controlled_feature_extractor_3seed_full
feature_random_forest_v1,0,0,0,0,0.8055555555555555,0.09563949801335699,0.7845249924781911,0.1127832048348814,0.7845249924781912,0.11278320483488143,0.7317878001513041,0.8376471239011969,0.0,18,0,controlled_feature_extractor_3seed_full
feature_random_forest_v1,0,0,0,0,0.8055555555555555,0.09563949801335699,0.7845249924781911,0.1127832048348814,0.7845249924781912,0.11278320483488143,0.7317878001513041,0.8376471239011969,0.0,18,0,literature_full_extension_readonly
all_channel_conv1d_small,4181,4056,0,125,0.8044444444444445,0.1207946936942652,0.7740403941293481,0.15003005382963938,0.7740403941293481,0.15003005382963938,0.7025691524476092,0.842422439652029,26.0,18,0,locked_full_supervised_matrix_readonly
rescnn_bigru_attention_lite_v1,38934,22432,1585,2245,0.7944444444444444,0.09945530666933443,0.7691308145395062,0.12808431577741966,0.7691308145395062,0.12808431577741966,0.7076484203493665,0.8269764709391504,18.0,18,0,controlled_feature_extractor_3seed_full
rescnn_bigru_attention_lite_v1,38934,22432,1585,2245,0.7944444444444444,0.09945530666933443,0.7691308145395062,0.12808431577741966,0.7691308145395062,0.12808431577741966,0.7076484203493665,0.8269764709391504,18.0,18,0,literature_full_extension_readonly
