model_name,class_id,class_name,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,total_support
controlled_2d_cnn,0,Correct,0.3699164512305532,0.32806080801996923,0.3888888888888889,0.3124969135650052,0.3621715669172038,0.29388224511493394,360
controlled_2d_cnn,1,Knee Valgus,0.40585185792721334,0.28052347636273756,0.5888888888888889,0.3935435721872186,0.38957493790403297,0.21396999932434282,360
controlled_2d_cnn,2,Butt Wink,0.558393926808249,0.3956545064029703,0.44166666666666665,0.38988958550965286,0.4075231085595823,0.31691008563527134,360
controlled_2d_cnn,3,Excessive Lean,0.5404117170645164,0.3054773824263532,0.5333333333333333,0.36170890690351176,0.4920252601482644,0.30420967742131244,360
controlled_2d_cnn,4,Partial Squat,0.7488894547718077,0.3598954067557829,0.5750000000000001,0.41641659162163286,0.5745791751115594,0.3639695066277028,360
controlled_all_channel_1d_cnn,0,Correct,0.6271948226907021,0.379757154810066,0.675,0.40662909662519503,0.6378157623908447,0.37848537646548397,360
controlled_all_channel_1d_cnn,1,Knee Valgus,0.9020553520553521,0.20061874634855295,0.9527777777777777,0.13173228557088196,0.9053940528480536,0.15664858462969333,360
controlled_all_channel_1d_cnn,2,Butt Wink,0.8082989198427802,0.15625591443813064,0.8638888888888888,0.16898845749172367,0.8232821846039143,0.13288057784838267,360
controlled_all_channel_1d_cnn,3,Excessive Lean,0.8121874767524981,0.2652762024088915,0.6805555555555556,0.35478431980605757,0.6691669832041227,0.28134461997463445,360
controlled_all_channel_1d_cnn,4,Partial Squat,0.9797561536691971,0.0421237606607529,0.9527777777777777,0.11238849068968837,0.9613136212103027,0.07155725498627467,360
controlled_all_channel_1d_cnn_small,0,Correct,0.6164966670389435,0.36936471672034416,0.6722222222222222,0.3859412096212979,0.6114533725173046,0.3396487149752738,360
controlled_all_channel_1d_cnn_small,1,Knee Valgus,0.8951926475786496,0.2372179565517677,0.875,0.2897556441785618,0.8166397872280226,0.2837077931669968,360
