scope,model_name,seed,fold_id,test_subject,true_class,pred_class,count
fold,controlled_flatten_mlp,42,1,1,0,0,0
fold,controlled_flatten_mlp,42,1,1,0,1,10
fold,controlled_flatten_mlp,42,1,1,0,2,10
fold,controlled_flatten_mlp,42,1,1,0,3,0
fold,controlled_flatten_mlp,42,1,1,0,4,0
fold,controlled_flatten_mlp,42,1,1,1,0,0
fold,controlled_flatten_mlp,42,1,1,1,1,17
fold,controlled_flatten_mlp,42,1,1,1,2,3
fold,controlled_flatten_mlp,42,1,1,1,3,0
fold,controlled_flatten_mlp,42,1,1,1,4,0
fold,controlled_flatten_mlp,42,1,1,2,0,0
fold,controlled_flatten_mlp,42,1,1,2,1,1
fold,controlled_flatten_mlp,42,1,1,2,2,19
fold,controlled_flatten_mlp,42,1,1,2,3,0
fold,controlled_flatten_mlp,42,1,1,2,4,0
fold,controlled_flatten_mlp,42,1,1,3,0,0
fold,controlled_flatten_mlp,42,1,1,3,1,15
fold,controlled_flatten_mlp,42,1,1,3,2,0
fold,controlled_flatten_mlp,42,1,1,3,3,0
fold,controlled_flatten_mlp,42,1,1,3,4,5
fold,controlled_flatten_mlp,42,1,1,4,0,0
fold,controlled_flatten_mlp,42,1,1,4,1,20
fold,controlled_flatten_mlp,42,1,1,4,2,0
fold,controlled_flatten_mlp,42,1,1,4,3,0
fold,controlled_flatten_mlp,42,1,1,4,4,0
fold,controlled_stats_mlp,42,1,1,0,0,11
fold,controlled_stats_mlp,42,1,1,0,1,0
fold,controlled_stats_mlp,42,1,1,0,2,9
fold,controlled_stats_mlp,42,1,1,0,3,0
fold,controlled_stats_mlp,42,1,1,0,4,0
fold,controlled_stats_mlp,42,1,1,1,0,0
fold,controlled_stats_mlp,42,1,1,1,1,20
fold,controlled_stats_mlp,42,1,1,1,2,0
fold,controlled_stats_mlp,42,1,1,1,3,0
fold,controlled_stats_mlp,42,1,1,1,4,0
fold,controlled_stats_mlp,42,1,1,2,0,0
fold,controlled_stats_mlp,42,1,1,2,1,4
fold,controlled_stats_mlp,42,1,1,2,2,16
fold,controlled_stats_mlp,42,1,1,2,3,0
fold,controlled_stats_mlp,42,1,1,2,4,0
fold,controlled_stats_mlp,42,1,1,3,0,0
fold,controlled_stats_mlp,42,1,1,3,1,1
fold,controlled_stats_mlp,42,1,1,3,2,0
fold,controlled_stats_mlp,42,1,1,3,3,16
fold,controlled_stats_mlp,42,1,1,3,4,3
fold,controlled_stats_mlp,42,1,1,4,0,0
fold,controlled_stats_mlp,42,1,1,4,1,0
fold,controlled_stats_mlp,42,1,1,4,2,0
fold,controlled_stats_mlp,42,1,1,4,3,0
fold,controlled_stats_mlp,42,1,1,4,4,20
fold,controlled_all_channel_1d_cnn,42,1,1,0,0,0
fold,controlled_all_channel_1d_cnn,42,1,1,0,1,20
fold,controlled_all_channel_1d_cnn,42,1,1,0,2,0
fold,controlled_all_channel_1d_cnn,42,1,1,0,3,0
fold,controlled_all_channel_1d_cnn,42,1,1,0,4,0
fold,controlled_all_channel_1d_cnn,42,1,1,1,0,0
fold,controlled_all_channel_1d_cnn,42,1,1,1,1,20
fold,controlled_all_channel_1d_cnn,42,1,1,1,2,0
fold,controlled_all_channel_1d_cnn,42,1,1,1,3,0
fold,controlled_all_channel_1d_cnn,42,1,1,1,4,0
fold,controlled_all_channel_1d_cnn,42,1,1,2,0,0
fold,controlled_all_channel_1d_cnn,42,1,1,2,1,0
fold,controlled_all_channel_1d_cnn,42,1,1,2,2,20
fold,controlled_all_channel_1d_cnn,42,1,1,2,3,0
fold,controlled_all_channel_1d_cnn,42,1,1,2,4,0
fold,controlled_all_channel_1d_cnn,42,1,1,3,0,0
fold,controlled_all_channel_1d_cnn,42,1,1,3,1,5
fold,controlled_all_channel_1d_cnn,42,1,1,3,2,0
fold,controlled_all_channel_1d_cnn,42,1,1,3,3,15
fold,controlled_all_channel_1d_cnn,42,1,1,3,4,0
fold,controlled_all_channel_1d_cnn,42,1,1,4,0,0
fold,controlled_all_channel_1d_cnn,42,1,1,4,1,0
fold,controlled_all_channel_1d_cnn,42,1,1,4,2,0
fold,controlled_all_channel_1d_cnn,42,1,1,4,3,0
fold,controlled_all_channel_1d_cnn,42,1,1,4,4,20
fold,controlled_all_channel_1d_cnn_small,42,1,1,0,0,0
fold,controlled_all_channel_1d_cnn_small,42,1,1,0,1,18
