feature_index,feature_name,channel_index,channel_name,statistic,source
0,s0_ax_mean,0,s0_ax,mean,imu_signal
1,s0_ay_mean,1,s0_ay,mean,imu_signal
2,s0_az_mean,2,s0_az,mean,imu_signal
3,s0_gx_mean,3,s0_gx,mean,imu_signal
4,s0_gy_mean,4,s0_gy,mean,imu_signal
5,s0_gz_mean,5,s0_gz,mean,imu_signal
6,s1_ax_mean,6,s1_ax,mean,imu_signal
7,s1_ay_mean,7,s1_ay,mean,imu_signal
8,s1_az_mean,8,s1_az,mean,imu_signal
9,s1_gx_mean,9,s1_gx,mean,imu_signal
10,s1_gy_mean,10,s1_gy,mean,imu_signal
11,s1_gz_mean,11,s1_gz,mean,imu_signal
12,s2_ax_mean,12,s2_ax,mean,imu_signal
13,s2_ay_mean,13,s2_ay,mean,imu_signal
14,s2_az_mean,14,s2_az,mean,imu_signal
15,s2_gx_mean,15,s2_gx,mean,imu_signal
16,s2_gy_mean,16,s2_gy,mean,imu_signal
17,s2_gz_mean,17,s2_gz,mean,imu_signal
18,s0_ax_std,0,s0_ax,std,imu_signal
19,s0_ay_std,1,s0_ay,std,imu_signal
20,s0_az_std,2,s0_az,std,imu_signal
21,s0_gx_std,3,s0_gx,std,imu_signal
22,s0_gy_std,4,s0_gy,std,imu_signal
23,s0_gz_std,5,s0_gz,std,imu_signal
24,s1_ax_std,6,s1_ax,std,imu_signal
25,s1_ay_std,7,s1_ay,std,imu_signal
26,s1_az_std,8,s1_az,std,imu_signal
27,s1_gx_std,9,s1_gx,std,imu_signal
28,s1_gy_std,10,s1_gy,std,imu_signal
29,s1_gz_std,11,s1_gz,std,imu_signal
30,s2_ax_std,12,s2_ax,std,imu_signal
31,s2_ay_std,13,s2_ay,std,imu_signal
32,s2_az_std,14,s2_az,std,imu_signal
33,s2_gx_std,15,s2_gx,std,imu_signal
34,s2_gy_std,16,s2_gy,std,imu_signal
35,s2_gz_std,17,s2_gz,std,imu_signal
36,s0_ax_min,0,s0_ax,min,imu_signal
37,s0_ay_min,1,s0_ay,min,imu_signal
38,s0_az_min,2,s0_az,min,imu_signal
39,s0_gx_min,3,s0_gx,min,imu_signal
40,s0_gy_min,4,s0_gy,min,imu_signal
41,s0_gz_min,5,s0_gz,min,imu_signal
42,s1_ax_min,6,s1_ax,min,imu_signal
43,s1_ay_min,7,s1_ay,min,imu_signal
44,s1_az_min,8,s1_az,min,imu_signal
45,s1_gx_min,9,s1_gx,min,imu_signal
46,s1_gy_min,10,s1_gy,min,imu_signal
47,s1_gz_min,11,s1_gz,min,imu_signal
48,s2_ax_min,12,s2_ax,min,imu_signal
49,s2_ay_min,13,s2_ay,min,imu_signal
50,s2_az_min,14,s2_az,min,imu_signal
51,s2_gx_min,15,s2_gx,min,imu_signal
52,s2_gy_min,16,s2_gy,min,imu_signal
53,s2_gz_min,17,s2_gz,min,imu_signal
54,s0_ax_max,0,s0_ax,max,imu_signal
55,s0_ay_max,1,s0_ay,max,imu_signal
56,s0_az_max,2,s0_az,max,imu_signal
57,s0_gx_max,3,s0_gx,max,imu_signal
58,s0_gy_max,4,s0_gy,max,imu_signal
59,s0_gz_max,5,s0_gz,max,imu_signal
60,s1_ax_max,6,s1_ax,max,imu_signal
61,s1_ay_max,7,s1_ay,max,imu_signal
62,s1_az_max,8,s1_az,max,imu_signal
63,s1_gx_max,9,s1_gx,max,imu_signal
64,s1_gy_max,10,s1_gy,max,imu_signal
65,s1_gz_max,11,s1_gz,max,imu_signal
66,s2_ax_max,12,s2_ax,max,imu_signal
67,s2_ay_max,13,s2_ay,max,imu_signal
68,s2_az_max,14,s2_az,max,imu_signal
69,s2_gx_max,15,s2_gx,max,imu_signal
70,s2_gy_max,16,s2_gy,max,imu_signal
71,s2_gz_max,17,s2_gz,max,imu_signal
72,s0_ax_median,0,s0_ax,median,imu_signal
73,s0_ay_median,1,s0_ay,median,imu_signal
74,s0_az_median,2,s0_az,median,imu_signal
75,s0_gx_median,3,s0_gx,median,imu_signal
76,s0_gy_median,4,s0_gy,median,imu_signal
77,s0_gz_median,5,s0_gz,median,imu_signal
78,s1_ax_median,6,s1_ax,median,imu_signal
79,s1_ay_median,7,s1_ay,median,imu_signal
80,s1_az_median,8,s1_az,median,imu_signal
81,s1_gx_median,9,s1_gx,median,imu_signal
82,s1_gy_median,10,s1_gy,median,imu_signal
83,s1_gz_median,11,s1_gz,median,imu_signal
84,s2_ax_median,12,s2_ax,median,imu_signal
85,s2_ay_median,13,s2_ay,median,imu_signal
86,s2_az_median,14,s2_az,median,imu_signal
87,s2_gx_median,15,s2_gx,median,imu_signal
88,s2_gy_median,16,s2_gy,median,imu_signal
89,s2_gz_median,17,s2_gz,median,imu_signal
90,s0_ax_energy,0,s0_ax,energy,imu_signal
91,s0_ay_energy,1,s0_ay,energy,imu_signal
92,s0_az_energy,2,s0_az,energy,imu_signal
93,s0_gx_energy,3,s0_gx,energy,imu_signal
94,s0_gy_energy,4,s0_gy,energy,imu_signal
95,s0_gz_energy,5,s0_gz,energy,imu_signal
96,s1_ax_energy,6,s1_ax,energy,imu_signal
97,s1_ay_energy,7,s1_ay,energy,imu_signal
98,s1_az_energy,8,s1_az,energy,imu_signal
99,s1_gx_energy,9,s1_gx,energy,imu_signal
100,s1_gy_energy,10,s1_gy,energy,imu_signal
101,s1_gz_energy,11,s1_gz,energy,imu_signal
102,s2_ax_energy,12,s2_ax,energy,imu_signal
103,s2_ay_energy,13,s2_ay,energy,imu_signal
104,s2_az_energy,14,s2_az,energy,imu_signal
105,s2_gx_energy,15,s2_gx,energy,imu_signal
106,s2_gy_energy,16,s2_gy,energy,imu_signal
107,s2_gz_energy,17,s2_gz,energy,imu_signal
