feature_name,channel_name,statistic,mean_abs_coefficient,std_abs_coefficient,n
s1_ax_energy,s1_ax,energy,0.8334730225731579,0.6142765686076734,90
s1_ax_max,s1_ax,max,0.6362939849476188,0.3693723893331171,90
s1_az_energy,s1_az,energy,0.40674961217569344,0.3727183351389807,90
s1_ay_median,s1_ay,median,0.3943614978622464,0.5295934457779553,90
s0_az_energy,s0_az,energy,0.39433935298949746,0.2819241470705761,90
s0_gy_energy,s0_gy,energy,0.3900902333262375,0.3939630849110561,90
s1_ax_min,s1_ax,min,0.36831418763100915,0.2992438373515408,90
s0_ay_median,s0_ay,median,0.3604790587546576,0.3313276586718965,90
s1_ax_median,s1_ax,median,0.3591746317356322,0.261204463824537,90
s0_ax_mean,s0_ax,mean,0.35063904474100804,0.3349992398620669,90
s1_ax_mean,s1_ax,mean,0.3439765136040123,0.20471934630670402,90
s2_ax_std,s2_ax,std,0.33143602917938575,0.3697725571659677,90
s1_az_mean,s1_az,mean,0.33020814233674517,0.21961470556429571,90
s1_ax_rms,s1_ax,rms,0.32211606486806166,0.19678697756329308,90
s1_ax_ptp,s1_ax,ptp,0.3188220956556122,0.21725203076977231,90
s2_gy_energy,s2_gy,energy,0.3125422355876809,0.1698235938572126,90
s0_ay_mean,s0_ay,mean,0.3123302360015808,0.2807824115120924,90
s1_ay_mean,s1_ay,mean,0.29373269304357064,0.3204742225952405,90
s1_gz_energy,s1_gz,energy,0.2893730675239678,0.2892100309788699,90
s2_gy_std,s2_gy,std,0.2801032300999124,0.20683963018690013,90
s2_gy_rms,s2_gy,rms,0.27884468819183844,0.20016957006611158,90
s2_az_energy,s2_az,energy,0.27556196023344026,0.2207269327460836,90
s2_ax_rms,s2_ax,rms,0.27010011956362945,0.18893405772538405,90
s1_ay_max,s1_ay,max,0.2698558582897341,0.23105290212789117,90
s2_ax_energy,s2_ax,energy,0.2675427224238503,0.21939975482021468,90
s1_gy_max,s1_gy,max,0.26584871882279004,0.14818004626774922,90
s2_gy_max,s2_gy,max,0.25507860878197336,0.168845492279939,90
s0_az_std,s0_az,std,0.25415968092995017,0.2987876911466352,90
s1_gy_rms,s1_gy,rms,0.25297199221674427,0.23144241965116572,90
s1_gy_std,s1_gy,std,0.24570391779699396,0.22682276539657273,90
s1_gy_energy,s1_gy,energy,0.24510812408947594,0.17699522327524558,90
s2_az_rms,s2_az,rms,0.2441017068110995,0.21620913310924153,90
s0_ay_energy,s0_ay,energy,0.24070052150363166,0.17047345267511532,90
s2_ay_energy,s2_ay,energy,0.23838017591780164,0.21661075874930114,90
s0_az_min,s0_az,min,0.23325138857480174,0.186760376820605,90
