model_name,model_group,total_params,encoder_params,aggregation_params,head_params,other_params,extractor_params,projection_params,common_head_params,residual_branch_params,identity_embedding_params,representation_dim,common_head_signature,input_shape,output_shape,notes
controlled_flatten_mlp,controlled_neural,594373,0,589888,4485,0,589888,589888,4485,0,0,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
controlled_stats_mlp,controlled_neural,9157,0,4672,4485,0,4672,0,4485,4672,0,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
controlled_all_channel_1d_cnn,controlled_neural,20197,15712,0,4485,0,15712,0,4485,0,0,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
controlled_all_channel_1d_cnn_small,controlled_neural,11317,4720,2112,4485,0,6832,2112,4485,0,0,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
controlled_shared_1d,controlled_neural,7093,2608,0,4485,0,2608,0,4485,0,0,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
controlled_shared_1d_identity,controlled_neural,8885,2736,1664,4485,0,4400,0,4485,0,1664,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
controlled_shared_1d_residual,controlled_neural,20021,2608,12928,4485,0,15536,8256,4485,4672,0,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
controlled_shared_1d_residual_identity,controlled_neural,21813,2736,14592,4485,0,17328,8256,4485,4672,1664,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
controlled_2d_cnn,controlled_neural,14853,8256,2112,4485,0,10368,2112,4485,0,0,64,linear:64->64|relu|dropout:0.1|linear:64->5,"(batch, 512, 18)","(2, 5)",controlled neural model with common classifier head
feature_random_forest_v1,classical_practical,,,,,,,,,,,not_applicable,not_applicable,"(batch, 512, 18)",not_applicable,classical baseline; available=True
feature_xgboost_v1,classical_practical,,,,,,,,,,,not_applicable,not_applicable,"(batch, 512, 18)",not_applicable,classical baseline; available=False
feature_linear_svm_v1,classical_practical,,,,,,,,,,,not_applicable,not_applicable,"(batch, 512, 18)",not_applicable,classical baseline; available=True
rescnn_bigru_attention_lite_v1,literature_reference,38934,22432,1585,2245,12672,,,,,,,,"(batch, 512, 18)","(2, 5)",literature reference model
lee_style_cnn_lstm_2d_v1,literature_reference,62637,10728,0,2245,49664,,,,,,,,"(batch, 512, 18)","(2, 5)",literature reference model
