reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
controlled_shared_1d_residual_identity,controlled_2d_cnn,macro_f1,-0.3521443949671877,0.20593963476024618,-0.45186014111166417,-0.2600777495922726,18
controlled_shared_1d_residual_identity,controlled_all_channel_1d_cnn,macro_f1,0.002075316156131305,0.1440310248582277,-0.06709892752986614,0.06711845602217978,18
controlled_shared_1d_residual_identity,controlled_all_channel_1d_cnn_small,macro_f1,-0.041164688481849426,0.1788542622239902,-0.1320181146386741,0.032599978682058876,18
controlled_shared_1d_residual_identity,controlled_flatten_mlp,macro_f1,-0.09272894667813242,0.2561342709270564,-0.21517225533870946,0.021939381026621435,18
controlled_shared_1d_residual_identity,controlled_shared_1d,macro_f1,-0.51673042775915,0.1299189348100116,-0.5782391409353795,-0.45851029370096325,18
controlled_shared_1d_residual_identity,controlled_shared_1d_identity,macro_f1,-0.27911366706413904,0.1751475426477212,-0.3626111955405222,-0.20175762394411087,18
controlled_shared_1d_residual_identity,controlled_shared_1d_residual,macro_f1,0.003112408239876247,0.05202007983509779,-0.020234732325744437,0.02832816765762723,18
controlled_shared_1d_residual_identity,controlled_stats_mlp,macro_f1,0.02006476633327868,0.10248266117017937,-0.022693279479098914,0.07053189585869815,18
controlled_shared_1d_residual_identity,feature_linear_svm_v1,macro_f1,-0.07599228646731035,0.12486282345385011,-0.13651581626273604,-0.020424964670447774,18
controlled_shared_1d_residual_identity,feature_random_forest_v1,macro_f1,-0.01279421221712511,0.06716530450973919,-0.04383481282531926,0.018202850027707804,18
controlled_shared_1d_residual_identity,lee_style_cnn_lstm_2d_v1,macro_f1,-0.17042527495291845,0.254082275889256,-0.2935630332224908,-0.05919737299146037,18
controlled_shared_1d_residual_identity,rescnn_bigru_attention_lite_v1,macro_f1,-0.028188390155810254,0.16011950954084184,-0.10254763740008106,0.04358712142079034,18
controlled_shared_1d_residual,controlled_2d_cnn,macro_f1,-0.355256803207064,0.20860192545295256,-0.45709329205203403,-0.26233094823968656,18
controlled_shared_1d_residual,controlled_all_channel_1d_cnn,macro_f1,-0.0010370920837449418,0.1542344237732308,-0.07516645704990346,0.06879132902076854,18
controlled_shared_1d_residual,controlled_all_channel_1d_cnn_small,macro_f1,-0.04427709672172567,0.19506872008437154,-0.14210606993026814,0.03697001039364736,18
controlled_shared_1d_residual,controlled_flatten_mlp,macro_f1,-0.09584135491800866,0.2651803520035421,-0.22307832829967933,0.021653544631462802,18
controlled_shared_1d_residual,controlled_shared_1d,macro_f1,-0.5198428359990263,0.12501599017686713,-0.5799939855228197,-0.4635128497460245,18
controlled_shared_1d_residual,controlled_shared_1d_identity,macro_f1,-0.2822260753040153,0.1730413018273231,-0.36482754802524375,-0.20641815889889184,18
controlled_shared_1d_residual,controlled_shared_1d_residual_identity,macro_f1,-0.003112408239876247,0.05202007983509779,-0.02832816765762723,0.020234732325744423,18
controlled_shared_1d_residual,controlled_stats_mlp,macro_f1,0.016952358093402436,0.09756750565338841,-0.025791957773401594,0.06455251119860832,18
controlled_shared_1d_residual,feature_linear_svm_v1,macro_f1,-0.07910469470718659,0.13038101756425258,-0.14283108854889062,-0.02103304991739189,18
controlled_shared_1d_residual,feature_random_forest_v1,macro_f1,-0.015906620457001357,0.08621795028664352,-0.058878490819961944,0.02222843843944817,18
controlled_shared_1d_residual,lee_style_cnn_lstm_2d_v1,macro_f1,-0.17353768319279472,0.26736045081161564,-0.3038217452203596,-0.058047658243500354,18
controlled_shared_1d_residual,rescnn_bigru_attention_lite_v1,macro_f1,-0.0313007983956865,0.17446184855160954,-0.11448862081752886,0.04606757795130422,18
controlled_all_channel_1d_cnn,controlled_2d_cnn,macro_f1,-0.35421971112331907,0.15595597334901842,-0.4283537900119056,-0.284450985198895,18
controlled_all_channel_1d_cnn,controlled_all_channel_1d_cnn_small,macro_f1,-0.043240004637980736,0.08516562510939174,-0.08274639628982756,-0.004024276986800382,18
controlled_all_channel_1d_cnn,controlled_flatten_mlp,macro_f1,-0.09480426283426373,0.1818854056161686,-0.17880536484100418,-0.009851976843418197,18
controlled_all_channel_1d_cnn,controlled_shared_1d,macro_f1,-0.5188057439152813,0.12046284518171724,-0.5753852483068012,-0.4633653866587139,18
controlled_all_channel_1d_cnn,controlled_shared_1d_identity,macro_f1,-0.2811889832202703,0.1641870058340084,-0.359856712767446,-0.20671613683939244,18
controlled_all_channel_1d_cnn,controlled_shared_1d_residual,macro_f1,0.0010370920837449418,0.1542344237732308,-0.06879132902076862,0.07516645704990346,18
controlled_all_channel_1d_cnn,controlled_shared_1d_residual_identity,macro_f1,-0.002075316156131305,0.1440310248582277,-0.06711845602217979,0.06709892752986613,18
controlled_all_channel_1d_cnn,controlled_stats_mlp,macro_f1,0.017989450177147377,0.1399881582026084,-0.04254892638652567,0.08639206850306679,18
controlled_all_channel_1d_cnn,feature_linear_svm_v1,macro_f1,-0.07806760262344165,0.08666267932506756,-0.11847562479177987,-0.03897292333073186,18
controlled_all_channel_1d_cnn,feature_random_forest_v1,macro_f1,-0.014869528373256415,0.10691397472786036,-0.06636590100124061,0.033055147257121005,18
controlled_all_channel_1d_cnn,lee_style_cnn_lstm_2d_v1,macro_f1,-0.17250059110904975,0.1515654482193317,-0.242801808133649,-0.10442801389883048,18
controlled_all_channel_1d_cnn,rescnn_bigru_attention_lite_v1,macro_f1,-0.03026370631194156,0.14500274107573918,-0.09687223544170404,0.03514961655332197,18
