model_name,seed,fold_id,train_subjects,val_subjects,test_subject,status,reason
feature_xgboost_v1,42,1,2|3|4|5|6,2|3|4|5|6,1,skipped,xgboost is not installed
feature_xgboost_v1,42,2,1|3|4|5|6,1|3|4|5|6,2,skipped,xgboost is not installed
feature_xgboost_v1,42,3,1|2|4|5|6,1|2|4|5|6,3,skipped,xgboost is not installed
feature_xgboost_v1,42,4,1|2|3|5|6,1|2|3|5|6,4,skipped,xgboost is not installed
feature_xgboost_v1,42,5,1|2|3|4|6,1|2|3|4|6,5,skipped,xgboost is not installed
feature_xgboost_v1,42,6,1|2|3|4|5,1|2|3|4|5,6,skipped,xgboost is not installed
feature_xgboost_v1,123,1,2|3|4|5|6,2|3|4|5|6,1,skipped,xgboost is not installed
feature_xgboost_v1,123,2,1|3|4|5|6,1|3|4|5|6,2,skipped,xgboost is not installed
feature_xgboost_v1,123,3,1|2|4|5|6,1|2|4|5|6,3,skipped,xgboost is not installed
feature_xgboost_v1,123,4,1|2|3|5|6,1|2|3|5|6,4,skipped,xgboost is not installed
feature_xgboost_v1,123,5,1|2|3|4|6,1|2|3|4|6,5,skipped,xgboost is not installed
feature_xgboost_v1,123,6,1|2|3|4|5,1|2|3|4|5,6,skipped,xgboost is not installed
feature_xgboost_v1,2025,1,2|3|4|5|6,2|3|4|5|6,1,skipped,xgboost is not installed
feature_xgboost_v1,2025,2,1|3|4|5|6,1|3|4|5|6,2,skipped,xgboost is not installed
feature_xgboost_v1,2025,3,1|2|4|5|6,1|2|4|5|6,3,skipped,xgboost is not installed
feature_xgboost_v1,2025,4,1|2|3|5|6,1|2|3|5|6,4,skipped,xgboost is not installed
feature_xgboost_v1,2025,5,1|2|3|4|6,1|2|3|4|6,5,skipped,xgboost is not installed
feature_xgboost_v1,2025,6,1|2|3|4|5,1|2|3|4|5,6,skipped,xgboost is not installed
