model_name,test_subject,test_accuracy,test_macro_f1,class0_f1,class1_f1,class2_f1,class3_f1,class4_f1
controlled_2d_cnn,1,0.26333333333333336,0.16702873425723985,0.0,0.3792396169754661,0.0,0.30834147196554224,0.14756258234519104
controlled_2d_cnn,2,0.5633333333333334,0.5545357290567844,0.6371621621621623,0.5472543605159216,0.72492784992785,0.18024724476337375,0.6830870279146142
controlled_2d_cnn,3,0.6033333333333334,0.5372445714079733,0.5684789067142008,0.08333333333333333,0.5929588832429605,0.5638998682476943,0.8775518655016771
controlled_2d_cnn,4,0.7200000000000001,0.676177084045114,0.6278380680765955,0.35974842767295606,0.5690946734424995,0.9181929181929182,0.9060113328406011
controlled_2d_cnn,5,0.3433333333333333,0.20565349611402242,0.0,0.5140629351155667,0.031746031746031744,0.450712481962482,0.031746031746031744
controlled_2d_cnn,6,0.54,0.5304092434876376,0.3395502645502646,0.4538109538109538,0.5264112129981521,0.5307575757575759,0.8015162103212417
controlled_all_channel_1d_cnn,1,0.7133333333333333,0.6436270283244249,0.0,0.6284086284086284,0.9158713326263698,0.7126148705096074,0.9612403100775194
controlled_all_channel_1d_cnn,2,0.81,0.7599597409497337,0.8037611254665519,1.0,0.7819454383607072,0.22222222222222224,0.991869918699187
controlled_all_channel_1d_cnn,3,0.9133333333333334,0.911652122424005,0.95542911332385,1.0,0.7571796395325806,0.8456518592635943,1.0
controlled_all_channel_1d_cnn,4,0.9433333333333334,0.9430773235159656,0.8835978835978836,1.0,0.8849638603278022,0.9468248736541419,1.0
controlled_all_channel_1d_cnn,5,0.7599999999999999,0.7403355138071079,0.3526534605037907,0.812085769980507,0.9674603174603175,0.7303162787033756,0.8391617423875489
controlled_all_channel_1d_cnn,6,0.8099999999999999,0.7977153960874487,0.8314529914529913,0.991869918699187,0.6322725193157087,0.5573717948717948,0.975609756097561
controlled_all_channel_1d_cnn_small,1,0.5666666666666668,0.5049042385756382,0.0,0.5347593582887701,0.6137566137566138,0.5957854406130267,0.7802197802197801
controlled_all_channel_1d_cnn_small,2,0.7833333333333333,0.7563687664011397,0.6737879917793159,1.0,0.7507464829170255,0.35730935730935726,1.0
controlled_all_channel_1d_cnn_small,3,0.91,0.9081937755685846,0.9523809523809524,1.0,0.7652505446623094,0.831467462100474,0.991869918699187
controlled_all_channel_1d_cnn_small,4,0.9,0.8958668838265645,0.7317439797973724,1.0,0.8251751669201776,0.9224152724152724,1.0
controlled_all_channel_1d_cnn_small,5,0.7033333333333333,0.6645961886173833,0.4556296845399885,0.3650793650793651,0.8561895228561895,0.8390965229751197,0.8069858476362541
controlled_all_channel_1d_cnn_small,6,0.82,0.8069972442914909,0.855177626606198,1.0,0.7647079964061096,0.5550925925925926,0.8600080058525542
controlled_flatten_mlp,1,0.4366666666666667,0.30956906859958183,0.0,0.5532431875298792,0.7036983484351905,0.0,0.2909038070328393
controlled_flatten_mlp,2,0.5633333333333334,0.5108233044419038,0.4859408382443613,0.9563652721547459,0.31168831168831174,0.031746031746031744,0.7683760683760684
controlled_flatten_mlp,3,0.87,0.8631035916685034,0.8553823437544367,0.991869918699187,0.6727918586789555,0.8353499502567825,0.9601238869531552
controlled_flatten_mlp,4,0.8833333333333333,0.884677347652176,0.867235656709341,1.0,0.7942028985507245,0.7790422000948315,0.982905982905983
controlled_flatten_mlp,5,0.7266666666666666,0.7338194541335651,0.6315821840935997,0.8629327661585725,0.7085537918871251,0.8526026026026026,0.6134259259259259
controlled_flatten_mlp,6,0.9266666666666666,0.9255487816073732,0.9410256410256411,0.9914529914529915,0.8841131574581053,0.844078947368421,0.9670731707317074
controlled_shared_1d,1,0.26666666666666666,0.18041437990429532,0.0,0.18502001143510574,0.5349391349391349,0.11862068965517243,0.06349206349206349
controlled_shared_1d,2,0.36999999999999994,0.33232124779397804,0.0,0.536678614097969,0.5715245775729647,0.10570381998953426,0.44769922730942224
controlled_shared_1d,3,0.47,0.4183347295074878,0.5446623093681917,0.0,0.4670256234009241,0.24593088071348937,0.834054834054834
controlled_shared_1d,4,0.49333333333333335,0.4224812377142966,0.32442969285074547,0.0,0.5920363972223172,0.47339967379551745,0.7225404247029029
controlled_shared_1d,5,0.28,0.18661891660964366,0.026666666666666672,0.36369593709043246,0.542731979291119,0.0,0.0
controlled_shared_1d,6,0.22,0.14336215008729628,0.020955165692007796,0.0,0.1240981240981241,0.0,0.5717574606463495
controlled_shared_1d_identity,1,0.52,0.4927048461248454,0.2846361185983828,0.6215772072306628,0.7946445587955022,0.33585858585858586,0.4268077601410935
controlled_shared_1d_identity,2,0.7133333333333334,0.6702839934212482,0.525602833726083,0.8338624338624339,0.7851027279598708,0.23249299719887953,0.9743589743589743
controlled_shared_1d_identity,3,0.6699999999999999,0.6125320481876876,0.7724301841948901,0.0,0.5888514777403665,0.7013785790031813,1.0
controlled_shared_1d_identity,4,0.6233333333333334,0.5909746998742106,0.5360728866190634,0.2808959156785244,0.6224611708482676,0.65376552169005,0.8616780045351474
controlled_shared_1d_identity,5,0.3833333333333333,0.30694658411205294,0.0,0.4404873477038425,0.4395891690009337,0.14492753623188406,0.5097288676236045
controlled_shared_1d_identity,6,0.45999999999999996,0.43579105406701885,0.12282528791962755,0.33511586452762926,0.5746114778372843,0.4650839587318716,0.6813186813186812
controlled_shared_1d_residual,1,0.91,0.9106087498958577,0.9155025296382995,0.8699121765454682,0.8731268731268731,0.9503558771851455,0.9441462929835023
controlled_shared_1d_residual,2,0.7466666666666667,0.7231744787755426,0.648686761854398,0.9177958446251129,0.721407624633431,0.35362318840579715,0.9743589743589743
controlled_shared_1d_residual,3,0.8533333333333334,0.8555460283346576,0.84593837535014,0.8391617423875489,0.8068543451652387,0.7939057600711736,0.991869918699187
controlled_shared_1d_residual,4,0.94,0.9397962019913239,0.9353464963221061,1.0,0.8596459096459097,0.903988603988604,1.0
controlled_shared_1d_residual,5,0.64,0.619930282324419,0.08333333333333333,0.5534650690210917,0.7332911659287372,0.8389860448683978,0.8905757984705353
controlled_shared_1d_residual,6,0.7666666666666666,0.7535339362893544,0.6723484848484849,0.9468821047768415,0.577977577977578,0.6840686274509804,0.8863928863928864
controlled_shared_1d_residual_identity,1,0.88,0.8731628866567277,0.9482681061628431,0.8180794776539457,0.7253539253539253,0.9296296296296297,0.9444832944832945
controlled_shared_1d_residual_identity,2,0.7233333333333333,0.7194161352009193,0.65,0.8724351529229578,0.6955115149153723,0.4438470728793309,0.9352869352869352
controlled_shared_1d_residual_identity,3,0.86,0.86032127005425,0.8022875816993463,0.8652288652288652,0.8126643634301036,0.8214255399129349,1.0
controlled_shared_1d_residual_identity,4,0.94,0.9399439499311129,0.919047619047619,0.9914529914529915,0.8721772379667118,0.9170419011882426,1.0
controlled_shared_1d_residual_identity,5,0.6633333333333333,0.6155601406736437,0.08959156785243742,0.6431583386042589,0.7466654112920943,0.784142571376614,0.8142428142428142
controlled_shared_1d_residual_identity,6,0.7766666666666667,0.7755108456552442,0.7208464132077665,0.9263198647024065,0.7535721735502712,0.609090909090909,0.8677248677248678
controlled_stats_mlp,1,0.9033333333333333,0.9021223134603337,0.8676517708775773,0.9113546207925848,0.8419919919919919,0.9389598657891339,0.9506533178503803
controlled_stats_mlp,2,0.71,0.6850593175771534,0.6097388450329627,0.9153169051070355,0.582964927792514,0.35191378669639534,0.9653621232568601
controlled_stats_mlp,3,0.8466666666666667,0.8480970447641946,0.8723516107341526,0.9273889273889274,0.7074780058651027,0.7413967611336032,0.991869918699187
controlled_stats_mlp,4,0.9233333333333333,0.9231806290456319,0.8972313777191826,1.0,0.8551797040169133,0.8634920634920635,1.0
controlled_stats_mlp,5,0.8066666666666666,0.7923314263209035,0.5911330049261084,0.8356991845363938,0.6435786435786436,0.9152493957372005,0.9759969028261711
controlled_stats_mlp,6,0.7600000000000001,0.753513095003353,0.7492877492877493,0.9580361159308528,0.664168535866649,0.47877984084880637,0.9172932330827068
feature_linear_svm_v1,1,0.6166666666666667,0.5805375283188731,0.5705972771190163,0.8141444612032848,0.39154752057977865,0.4432253570184605,0.6831730256738252
feature_linear_svm_v1,2,0.6666666666666666,0.615360638501684,0.6168413696715583,0.8014589483592179,0.7381757300621398,0.18228366615463387,0.7380434782608697
feature_linear_svm_v1,3,0.8366666666666666,0.8324611085653572,0.8208672086720868,0.9743589743589743,0.6346966205837173,0.7405128205128205,0.991869918699187
feature_linear_svm_v1,4,0.9333333333333332,0.929665033317332,0.7990196078431372,1.0,0.8891816717903674,0.9601238869531552,1.0
feature_linear_svm_v1,5,0.6566666666666666,0.6334997070940005,0.28252483927527766,0.6966215630150057,0.6464569912845775,0.8804232804232806,0.6614718614718615
feature_linear_svm_v1,6,0.7666666666666666,0.7364374935707891,0.8824524312896407,0.8883168883168883,0.6706349206349206,0.2733333333333334,0.9674498942791625
feature_random_forest_v1,1,0.7733333333333334,0.7562259479974767,0.7023541760383866,0.7803060152350932,0.8051587301587301,0.5970819304152637,0.8962288881399094
feature_random_forest_v1,2,0.7733333333333334,0.7295157006504117,0.787373105270477,0.983739837398374,0.8006535947712418,0.18692307692307694,0.888888888888889
feature_random_forest_v1,3,0.9166666666666666,0.9170527675527436,0.8386034255599473,0.8850104144221791,0.9089089089089089,0.9527410888726827,1.0
feature_random_forest_v1,4,0.9333333333333332,0.9287691366406166,0.7954816987075052,1.0,0.9456938725231407,0.9026701119724376,1.0
feature_random_forest_v1,5,0.6666666666666666,0.6132304224756676,0.0,0.6073338426279603,0.8101223395341042,0.7000108968072355,0.9486850334090385
feature_random_forest_v1,6,0.77,0.7623559795522311,0.6068083683026212,1.0,0.4981684981684982,0.769187675070028,0.9376153562200074
lee_style_cnn_lstm_2d_v1,1,0.33,0.2054559642211633,0.0,0.46976317481935465,0.11870255348516218,0.0,0.4388140928012996
lee_style_cnn_lstm_2d_v1,2,0.59,0.5624519001690848,0.5162613469525328,0.9348370927318296,0.43532763532763535,0.0811965811965812,0.8446368446368447
lee_style_cnn_lstm_2d_v1,3,0.7433333333333333,0.7188626624785703,0.8182518991954698,0.7087813620071685,0.41328786156372366,0.7409101497151811,0.9130820399113082
lee_style_cnn_lstm_2d_v1,4,0.8233333333333333,0.8084045374436739,0.5007496251874063,1.0,0.7586165665261712,0.8447712418300654,0.9378852536747274
lee_style_cnn_lstm_2d_v1,5,0.7466666666666666,0.7429715855733218,0.644015444015444,0.8897876643073813,0.6896615928873994,0.7509523809523809,0.7404408457040036
lee_style_cnn_lstm_2d_v1,6,0.7399999999999999,0.723216928568573,0.7348690153568201,0.9739091318038686,0.6433465959328029,0.3466666666666667,0.9172932330827068
rescnn_bigru_attention_lite_v1,1,0.6633333333333332,0.5680929704364058,0.0,0.8463413201785294,0.9019788311090657,0.4444444444444445,0.6477002564499895
rescnn_bigru_attention_lite_v1,2,0.7733333333333334,0.7428605677506503,0.702485380116959,0.9841269841269842,0.736858265782363,0.3169230769230769,0.9739091318038687
rescnn_bigru_attention_lite_v1,3,0.87,0.8577843386929489,0.9499164578111946,0.9914529914529915,0.582964927792514,0.7804603322810606,0.9841269841269842
rescnn_bigru_attention_lite_v1,4,0.8266666666666667,0.8215045265429071,0.7727037820061077,0.991869918699187,0.6782464846980977,0.6817964644051601,0.982905982905983
rescnn_bigru_attention_lite_v1,5,0.7333333333333333,0.7267727410838116,0.5649734802121583,0.6380419828695691,0.9284020862968232,0.9088789045785196,0.5935672514619883
rescnn_bigru_attention_lite_v1,6,0.9,0.8977697427303125,0.9592003263973888,0.9292929292929294,0.8173618007282357,0.798866673106024,0.9841269841269842
