model_name,seed,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_weighted_f1,std_test_weighted_f1,min_test_macro_f1,max_test_macro_f1,mean_best_epoch,n_success_folds,n_failed_folds
all_channel_conv1d_small,42,0.8416666666666667,0.08725760075138947,0.8198648500022566,0.11381883778800381,0.8198648500022566,0.11381883778800382,0.615207501708203,0.9598302954116906,29.166666666666668,6,0
all_channel_conv1d_small,123,0.785,0.13225606476327148,0.7551412266583745,0.15508989826512182,0.7551412266583744,0.15508989826512182,0.4988531935900357,0.9254404510218464,24.333333333333332,6,0
all_channel_conv1d_small,2025,0.7866666666666666,0.12879786057574438,0.7471151057274131,0.1653403046277715,0.7471151057274131,0.1653403046277715,0.495547964791332,0.9697373358348969,24.5,6,0
all_channel_conv1d_v1,42,0.815,0.10515861036231569,0.7892705473747008,0.1315507673508214,0.7892705473747008,0.1315507673508214,0.5572128884295339,0.95,12.5,6,0
all_channel_conv1d_v1,123,0.7816666666666667,0.18197222010210484,0.7484208898500314,0.21521531892669132,0.7484208898500314,0.21521531892669124,0.34874458874458875,0.9483687044662655,16.5,6,0
all_channel_conv1d_v1,2025,0.7549999999999999,0.2219421846637843,0.7217267588803957,0.25455306027956226,0.7217267588803958,0.25455306027956226,0.20672782874617734,0.9483687044662655,24.166666666666668,6,0
channel_shared_attentionpool_v2,42,0.3583333333333334,0.11624925328314539,0.2933109313630024,0.11680515030220565,0.2933109313630024,0.11680515030220563,0.11773013871374524,0.45987401836458447,83.5,6,0
channel_shared_attentionpool_v2,123,0.4066666666666667,0.11699952516522828,0.3493505987036383,0.15160580786787628,0.3493505987036383,0.1516058078678763,0.08627450980392157,0.5897568523430592,102.66666666666667,6,0
channel_shared_attentionpool_v2,2025,0.3733333333333333,0.08259674462242578,0.2981140353331741,0.10114100870198123,0.2981140353331741,0.10114100870198123,0.10589184826472961,0.44427775123427293,85.16666666666667,6,0
channel_shared_meanpool_v2,42,0.3166666666666667,0.08498365855987974,0.23567835305026522,0.10088481116680285,0.23567835305026522,0.10088481116680284,0.09090909090909091,0.3404634581105169,63.5,6,0
channel_shared_meanpool_v2,123,0.315,0.09569918146637062,0.23139406379470148,0.11263141133621674,0.2313940637947015,0.11263141133621676,0.08085106382978723,0.36642474768938466,56.166666666666664,6,0
channel_shared_meanpool_v2,2025,0.32,0.13114877048604004,0.23979325993301195,0.15792898897336213,0.23979325993301195,0.15792898897336213,0.07766990291262137,0.4891221560394493,63.833333333333336,6,0
channel_shared_posres_attention_v3,42,0.805,0.11456439237389598,0.795223487086922,0.12948078264359214,0.795223487086922,0.1294807826435921,0.5957571539652565,0.9496092646643441,42.333333333333336,6,0
channel_shared_posres_attention_v3,123,0.8283333333333335,0.0643989302878722,0.8156491833611151,0.07783969797445765,0.8156491833611151,0.07783969797445768,0.6665864031592932,0.8903708546729142,32.333333333333336,6,0
channel_shared_posres_attention_v3,2025,0.8316666666666667,0.058713049846028466,0.8216017711780426,0.06494847974815023,0.8216017711780427,0.06494847974815021,0.7256029138382079,0.9081648623972869,38.166666666666664,6,0
cnn2d_baseline_v1,42,0.4466666666666666,0.13658534165698588,0.37967895283594183,0.14338825064434543,0.37967895283594183,0.14338825064434546,0.24705439488048184,0.637046918628314,68.33333333333333,6,0
cnn2d_baseline_v1,123,0.4183333333333333,0.15941734186997625,0.32560067670618004,0.1811423090516141,0.32560067670618004,0.18114230905161416,0.1,0.616758694178049,66.16666666666667,6,0
cnn2d_baseline_v1,2025,0.4766666666666666,0.15638272140986534,0.40122361790294686,0.17337309082808103,0.40122361790294686,0.173373090828081,0.15160183066361557,0.5914871122418293,61.5,6,0
modality_shared_sensorattn_v3,42,0.6433333333333334,0.2305548862105411,0.6037941186981671,0.26762743568881153,0.6037941186981671,0.26762743568881153,0.17450016388069484,0.8462042788129744,65.66666666666667,6,0
modality_shared_sensorattn_v3,123,0.6083333333333334,0.19186945793661087,0.5705387443737344,0.22045076301956829,0.5705387443737345,0.2204507630195683,0.158102766798419,0.8008297213622291,81.33333333333333,6,0
modality_shared_sensorattn_v3,2025,0.6816666666666666,0.10269967002002599,0.6327147451313008,0.11312640989118984,0.6327147451313008,0.11312640989118979,0.4279665259995708,0.7620624989046042,90.66666666666667,6,0
