model_name,metric,mean,ci_low,ci_high,n
all_channel_conv1d_small,accuracy,0.8044444444444445,0.7466666666666666,0.8588888888888889,18
all_channel_conv1d_small,macro_f1,0.7740403941293481,0.7025691524476092,0.842422439652029,18
all_channel_conv1d_small,weighted_f1,0.7740403941293481,0.7025691524476091,0.8424224396520289,18
all_channel_conv1d_v1,accuracy,0.783888888888889,0.6950000000000001,0.8605555555555555,18
all_channel_conv1d_v1,macro_f1,0.7531393987017094,0.650168423737199,0.8429069579155765,18
all_channel_conv1d_v1,weighted_f1,0.7531393987017094,0.650168423737199,0.8429069579155763,18
channel_shared_attentionpool_v2,accuracy,0.3794444444444445,0.3305555555555555,0.4294444444444445,18
channel_shared_attentionpool_v2,macro_f1,0.3135918551332716,0.2552738833501098,0.3731084452740907,18
channel_shared_attentionpool_v2,weighted_f1,0.3135918551332716,0.25527388335010986,0.37310844527409076,18
channel_shared_meanpool_v2,accuracy,0.3172222222222223,0.26944444444444443,0.367236111111111,18
channel_shared_meanpool_v2,macro_f1,0.23562189225932625,0.1779707252050326,0.2954568352480717,18
channel_shared_meanpool_v2,weighted_f1,0.23562189225932625,0.17797072520503263,0.29545683524807176,18
channel_shared_posres_attention_v3,accuracy,0.8216666666666668,0.7805555555555557,0.8599999999999999,18
channel_shared_posres_attention_v3,macro_f1,0.81082481387536,0.7644350120236636,0.8536918539514888,18
channel_shared_posres_attention_v3,weighted_f1,0.81082481387536,0.7644350120236636,0.8536918539514889,18
cnn2d_baseline_v1,accuracy,0.44722222222222224,0.3760972222222222,0.5177777777777778,18
cnn2d_baseline_v1,macro_f1,0.36883441581502296,0.290364976271034,0.44891438345533047,18
cnn2d_baseline_v1,weighted_f1,0.36883441581502296,0.2903649762710341,0.4489143834553305,18
modality_shared_sensorattn_v3,accuracy,0.6444444444444444,0.5555555555555556,0.7244583333333332,18
modality_shared_sensorattn_v3,macro_f1,0.6023492027344007,0.500320234965126,0.6944303967558907,18
modality_shared_sensorattn_v3,weighted_f1,0.6023492027344007,0.5003202349651261,0.6944303967558907,18
