fold_id,model_name,scaler_fit_n_windows,scaler_fit_subjects,scaler_fit_indices_hash,val_indices_used_in_scaler,test_indices_used_in_scaler,scaler_leakage_check_passed,seed
1,all_channel_conv1d_v1,400,2|3|4|5|6,c6fe731113b85ca1d5894336a0cf80eb765b4b17569cac28863ee76f9f079a25,False,False,True,42
1,all_channel_conv1d_small,400,2|3|4|5|6,c6fe731113b85ca1d5894336a0cf80eb765b4b17569cac28863ee76f9f079a25,False,False,True,42
1,cnn2d_baseline_v1,400,2|3|4|5|6,c6fe731113b85ca1d5894336a0cf80eb765b4b17569cac28863ee76f9f079a25,False,False,True,42
1,channel_shared_meanpool_v2,400,2|3|4|5|6,c6fe731113b85ca1d5894336a0cf80eb765b4b17569cac28863ee76f9f079a25,False,False,True,42
1,channel_shared_attentionpool_v2,400,2|3|4|5|6,c6fe731113b85ca1d5894336a0cf80eb765b4b17569cac28863ee76f9f079a25,False,False,True,42
1,channel_shared_posres_attention_v3,400,2|3|4|5|6,c6fe731113b85ca1d5894336a0cf80eb765b4b17569cac28863ee76f9f079a25,False,False,True,42
1,modality_shared_sensorattn_v3,400,2|3|4|5|6,c6fe731113b85ca1d5894336a0cf80eb765b4b17569cac28863ee76f9f079a25,False,False,True,42
2,all_channel_conv1d_v1,400,1|3|4|5|6,e0e6a6c0c7563a9bba1204fb03c86e6f7ce2b93712ee0ffd9208950d94de4d4f,False,False,True,42
2,all_channel_conv1d_small,400,1|3|4|5|6,e0e6a6c0c7563a9bba1204fb03c86e6f7ce2b93712ee0ffd9208950d94de4d4f,False,False,True,42
2,cnn2d_baseline_v1,400,1|3|4|5|6,e0e6a6c0c7563a9bba1204fb03c86e6f7ce2b93712ee0ffd9208950d94de4d4f,False,False,True,42
2,channel_shared_meanpool_v2,400,1|3|4|5|6,e0e6a6c0c7563a9bba1204fb03c86e6f7ce2b93712ee0ffd9208950d94de4d4f,False,False,True,42
2,channel_shared_attentionpool_v2,400,1|3|4|5|6,e0e6a6c0c7563a9bba1204fb03c86e6f7ce2b93712ee0ffd9208950d94de4d4f,False,False,True,42
2,channel_shared_posres_attention_v3,400,1|3|4|5|6,e0e6a6c0c7563a9bba1204fb03c86e6f7ce2b93712ee0ffd9208950d94de4d4f,False,False,True,42
2,modality_shared_sensorattn_v3,400,1|3|4|5|6,e0e6a6c0c7563a9bba1204fb03c86e6f7ce2b93712ee0ffd9208950d94de4d4f,False,False,True,42
3,all_channel_conv1d_v1,400,1|2|4|5|6,623d37bce052801f20899c42a08d0280d019fc033688cb9b5ff0cb51d4d116fb,False,False,True,42
3,all_channel_conv1d_small,400,1|2|4|5|6,623d37bce052801f20899c42a08d0280d019fc033688cb9b5ff0cb51d4d116fb,False,False,True,42
3,cnn2d_baseline_v1,400,1|2|4|5|6,623d37bce052801f20899c42a08d0280d019fc033688cb9b5ff0cb51d4d116fb,False,False,True,42
3,channel_shared_meanpool_v2,400,1|2|4|5|6,623d37bce052801f20899c42a08d0280d019fc033688cb9b5ff0cb51d4d116fb,False,False,True,42
3,channel_shared_attentionpool_v2,400,1|2|4|5|6,623d37bce052801f20899c42a08d0280d019fc033688cb9b5ff0cb51d4d116fb,False,False,True,42
3,channel_shared_posres_attention_v3,400,1|2|4|5|6,623d37bce052801f20899c42a08d0280d019fc033688cb9b5ff0cb51d4d116fb,False,False,True,42
3,modality_shared_sensorattn_v3,400,1|2|4|5|6,623d37bce052801f20899c42a08d0280d019fc033688cb9b5ff0cb51d4d116fb,False,False,True,42
4,all_channel_conv1d_v1,400,1|2|3|5|6,ceb4e8206099b8c97dda4d0fa3247a8d3aa701ac9f6a14a89baee4d53759e6d0,False,False,True,42
4,all_channel_conv1d_small,400,1|2|3|5|6,ceb4e8206099b8c97dda4d0fa3247a8d3aa701ac9f6a14a89baee4d53759e6d0,False,False,True,42
4,cnn2d_baseline_v1,400,1|2|3|5|6,ceb4e8206099b8c97dda4d0fa3247a8d3aa701ac9f6a14a89baee4d53759e6d0,False,False,True,42
4,channel_shared_meanpool_v2,400,1|2|3|5|6,ceb4e8206099b8c97dda4d0fa3247a8d3aa701ac9f6a14a89baee4d53759e6d0,False,False,True,42
4,channel_shared_attentionpool_v2,400,1|2|3|5|6,ceb4e8206099b8c97dda4d0fa3247a8d3aa701ac9f6a14a89baee4d53759e6d0,False,False,True,42
4,channel_shared_posres_attention_v3,400,1|2|3|5|6,ceb4e8206099b8c97dda4d0fa3247a8d3aa701ac9f6a14a89baee4d53759e6d0,False,False,True,42
4,modality_shared_sensorattn_v3,400,1|2|3|5|6,ceb4e8206099b8c97dda4d0fa3247a8d3aa701ac9f6a14a89baee4d53759e6d0,False,False,True,42
5,all_channel_conv1d_v1,400,1|2|3|4|6,8917dbd3053ae44c79953ca708dd0733985fcef58c7e0d755f813dc863f0639f,False,False,True,42
5,all_channel_conv1d_small,400,1|2|3|4|6,8917dbd3053ae44c79953ca708dd0733985fcef58c7e0d755f813dc863f0639f,False,False,True,42
5,cnn2d_baseline_v1,400,1|2|3|4|6,8917dbd3053ae44c79953ca708dd0733985fcef58c7e0d755f813dc863f0639f,False,False,True,42
5,channel_shared_meanpool_v2,400,1|2|3|4|6,8917dbd3053ae44c79953ca708dd0733985fcef58c7e0d755f813dc863f0639f,False,False,True,42
5,channel_shared_attentionpool_v2,400,1|2|3|4|6,8917dbd3053ae44c79953ca708dd0733985fcef58c7e0d755f813dc863f0639f,False,False,True,42
5,channel_shared_posres_attention_v3,400,1|2|3|4|6,8917dbd3053ae44c79953ca708dd0733985fcef58c7e0d755f813dc863f0639f,False,False,True,42
5,modality_shared_sensorattn_v3,400,1|2|3|4|6,8917dbd3053ae44c79953ca708dd0733985fcef58c7e0d755f813dc863f0639f,False,False,True,42
6,all_channel_conv1d_v1,400,1|2|3|4|5,3014f866bd1004153a6385fc0c0042096583ce9aaf49b0fc48c99602556d5920,False,False,True,42
6,all_channel_conv1d_small,400,1|2|3|4|5,3014f866bd1004153a6385fc0c0042096583ce9aaf49b0fc48c99602556d5920,False,False,True,42
6,cnn2d_baseline_v1,400,1|2|3|4|5,3014f866bd1004153a6385fc0c0042096583ce9aaf49b0fc48c99602556d5920,False,False,True,42
6,channel_shared_meanpool_v2,400,1|2|3|4|5,3014f866bd1004153a6385fc0c0042096583ce9aaf49b0fc48c99602556d5920,False,False,True,42
