model_name,test_subject,test_accuracy,test_macro_f1,class0_f1,class1_f1,class2_f1,class3_f1,class4_f1
all_channel_conv1d_small,1,0.6166666666666667,0.5365362200298569,0.0,0.5548569192935391,0.8962288881399094,0.3829503829503829,0.848644909765453
all_channel_conv1d_small,2,0.7666666666666666,0.7077819336638805,0.7437908496732026,1.0,0.708010804708918,0.09523809523809523,0.991869918699187
all_channel_conv1d_small,3,0.9,0.8986380726322808,0.9914529914529915,0.9629629629629629,0.7491854024112089,0.7977190876350541,0.991869918699187
all_channel_conv1d_small,4,0.9366666666666665,0.9330238053132023,0.8208951657227518,1.0,0.9,0.9442238608432595,1.0
all_channel_conv1d_small,5,0.73,0.6986704828374345,0.6130513322294144,0.7545751633986928,0.8957737132429182,0.9067198820838239,0.32323232323232326
all_channel_conv1d_small,6,0.8766666666666666,0.8695918502994333,0.885216665947563,0.9914529914529915,0.8481894973123043,0.6971741708583815,0.9259259259259259
all_channel_conv1d_v1,1,0.6633333333333334,0.594836332024043,0.0,0.6155008767637223,0.8925791385573429,0.6325187357445423,0.8335829090546071
all_channel_conv1d_v1,2,0.8033333333333333,0.7609639309737418,0.8142747879293561,1.0,0.7378053830227743,0.2608695652173913,0.991869918699187
all_channel_conv1d_v1,3,0.9033333333333333,0.898241112137505,0.9914529914529915,1.0,0.6934556915090843,0.806296877725449,1.0
all_channel_conv1d_v1,4,0.9499999999999998,0.948912469644177,0.8887445887445887,1.0,0.8887445887445887,0.9670731707317074,1.0
all_channel_conv1d_v1,5,0.48333333333333334,0.4197787204315133,0.1932367149758454,0.31800766283524906,0.7951951951951952,0.598514635211883,0.19393939393939394
all_channel_conv1d_v1,6,0.9,0.8961038269992758,0.9308469308469308,0.991869918699187,0.8421913446229556,0.750768049155146,0.96484289167216
channel_shared_attentionpool_v2,1,0.3833333333333333,0.30179275488012663,0.2820192879016408,0.5435827041866849,0.06060606060606061,0.028985507246376815,0.5937702144598697
