model_name,seed,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_weighted_f1,std_test_weighted_f1,min_test_macro_f1,max_test_macro_f1,mean_best_epoch,n_success_folds,n_failed_folds
cnn_gru_literature_v1,42,0.5733333333333334,0.20685475312133608,0.5305018122968436,0.24215050036902838,0.5305018122968436,0.24215050036902838,0.16344086021505375,0.8727938727938728,61.5,6,0
cnn_gru_literature_v1,123,0.5666666666666668,0.23767391293301185,0.531599493466022,0.2669233682753258,0.531599493466022,0.2669233682753258,0.18797206230195923,0.799105439351607,57.0,6,0
cnn_gru_literature_v1,2025,0.5033333333333333,0.1773571412589737,0.45144274778158217,0.20827431106681113,0.45144274778158217,0.20827431106681113,0.08630824372759857,0.7492315099215057,76.83333333333333,6,0
cnn_lstm_literature_v1,42,0.5633333333333334,0.1828174560106945,0.5220999313903296,0.20875976869383203,0.5220999313903296,0.20875976869383203,0.22856176467404832,0.7408077761018937,59.833333333333336,6,0
cnn_lstm_literature_v1,123,0.5983333333333333,0.20731752351298133,0.5644855892747892,0.23513211820660193,0.5644855892747892,0.2351321182066019,0.13145836543894796,0.8606344216100315,52.166666666666664,6,0
cnn_lstm_literature_v1,2025,0.565,0.1768002639515375,0.5108626496258234,0.2006094737480948,0.5108626496258234,0.20060947374809476,0.24224355354790142,0.8290954009376428,68.33333333333333,6,0
feature_linear_svm_v1,42,0.735,0.12392874296680867,0.7164312884622475,0.13524885827826738,0.7164312884622474,0.13524885827826735,0.5202043148720754,0.9370002546473135,0.0,6,0
feature_linear_svm_v1,123,0.7549999999999999,0.11176612486199324,0.7299381861678822,0.12957844412121097,0.7299381861678822,0.12957844412121103,0.5435085354896676,0.9376056113502311,0.0,6,0
feature_linear_svm_v1,2025,0.7483333333333334,0.10975983884017972,0.7176112800538883,0.12628303323880558,0.7176112800538883,0.12628303323880558,0.5689097787458444,0.9143892339544515,0.0,6,0
feature_random_forest_v1,42,0.8150000000000001,0.08693867570496651,0.7899969529330484,0.10997684897973782,0.7899969529330484,0.10997684897973783,0.6188883580187928,0.9404987965963574,0.0,6,0
feature_random_forest_v1,123,0.7966666666666665,0.10077477638553985,0.7785944921702387,0.11432003927881708,0.7785944921702387,0.11432003927881709,0.5780096517542715,0.9258297258297258,0.0,6,0
feature_random_forest_v1,2025,0.805,0.09776672917374976,0.7849835323312867,0.11371390303010047,0.7849835323312867,0.11371390303010043,0.6427932576539387,0.9589462406251968,0.0,6,0
lee_style_cnn_lstm_2d_v1,42,0.6683333333333333,0.15993922456844523,0.6365632488102749,0.19419166019621925,0.6365632488102749,0.19419166019621928,0.23287892231991608,0.8419029317716197,38.5,6,0
lee_style_cnn_lstm_2d_v1,123,0.68,0.19680785892167346,0.6468697927254012,0.23683176211343585,0.6468697927254012,0.23683176211343587,0.1573932584269663,0.8288090823904778,32.666666666666664,6,0
lee_style_cnn_lstm_2d_v1,2025,0.6383333333333333,0.14564988461680597,0.5972487476915175,0.18527099706472897,0.5972487476915175,0.18527099706472894,0.22609571191660746,0.7572408175929877,39.833333333333336,6,0
rescnn_bigru_attention_lite_v1,42,0.7816666666666667,0.1193617284652925,0.7484522504781572,0.14657495483641264,0.7484522504781572,0.14657495483641259,0.5569273483547981,0.9799498746867169,19.666666666666668,6,0
rescnn_bigru_attention_lite_v1,123,0.7916666666666666,0.06039223643997814,0.7781057774680201,0.06889237318560555,0.7781057774680201,0.06889237318560555,0.6812202220635457,0.8650177479898842,15.166666666666666,6,0
rescnn_bigru_attention_lite_v1,2025,0.81,0.10661457061146319,0.7808344156723409,0.14946997064756562,0.7808344156723409,0.14946997064756565,0.4661313408908737,0.9018950389771356,19.166666666666668,6,0
tcn_literature_v1,42,0.7466666666666667,0.18236105822119908,0.7049317674183722,0.22055515078051877,0.704931767418372,0.22055515078051874,0.33494692898698764,0.9202083921790164,14.5,6,0
tcn_literature_v1,123,0.755,0.22321514285549718,0.7051010791976733,0.2666367830381169,0.7051010791976733,0.2666367830381169,0.2606765783236371,0.9802197802197803,19.833333333333332,6,0
tcn_literature_v1,2025,0.7666666666666667,0.12918548250050735,0.7352023267561935,0.16355803631298801,0.7352023267561935,0.163558036312988,0.5025641025641026,0.9291866028708136,12.833333333333334,6,0
transformer_encoder_lite_v1,42,0.7216666666666667,0.1510426724104446,0.6846713546099098,0.18190234822150123,0.68467135460991,0.18190234822150123,0.3182326769745826,0.8378516447481964,9.833333333333334,6,0
transformer_encoder_lite_v1,123,0.795,0.06873863542433761,0.7633890212511476,0.09174371969747769,0.7633890212511476,0.09174371969747767,0.6410574048740943,0.919923273657289,13.0,6,0
transformer_encoder_lite_v1,2025,0.8483333333333333,0.07559026980299044,0.826086024339504,0.09990933652633315,0.826086024339504,0.09990933652633316,0.6767261835297779,0.939637442320369,13.5,6,0
