model_name,total_params,encoder_params,aggregation_params,head_params,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,macro_f1_ci_low,macro_f1_ci_high,mean_best_epoch,n_success_runs,n_failed_runs,result_type,rank_by_macro_f1,rank_by_accuracy
channel_shared_posres_attention_v3,14742,2064,8193,4485,0.8216666666666668,0.08394773506308685,0.81082481387536,0.09561278754006769,0.81082481387536,0.09561278754006769,0.7644350120236636,0.8536918539514888,37.611111111111114,18,0,locked_3seed_full,1,1
feature_random_forest_v1,0,0,0,0,0.8055555555555555,0.09563949801335699,0.7845249924781911,0.1127832048348814,0.7845249924781912,0.11278320483488143,0.7317878001513041,0.8376471239011969,0.0,18,0,literature_extension_3seed_full,2,2
all_channel_conv1d_small,4181,4056,0,125,0.8044444444444445,0.1207946936942652,0.7740403941293481,0.15003005382963938,0.7740403941293481,0.15003005382963938,0.7025691524476092,0.842422439652029,26.0,18,0,locked_3seed_full,3,3
rescnn_bigru_attention_lite_v1,38934,22432,1585,2245,0.7944444444444444,0.09945530666933443,0.7691308145395062,0.12808431577741966,0.7691308145395062,0.12808431577741966,0.7076484203493665,0.8269764709391504,18.0,18,0,literature_extension_3seed_full,4,4
transformer_encoder_lite_v1,39173,38832,0,341,0.7883333333333333,0.11739061101960223,0.7580488000668537,0.14321205869661557,0.7580488000668537,0.14321205869661557,0.6859914703966926,0.8188456608523291,12.11111111111111,18,0,literature_extension_3seed_full,5,5
all_channel_conv1d_v1,16037,15712,0,325,0.783888888888889,0.1781740375428502,0.7531393987017094,0.20875422275948866,0.7531393987017094,0.2087542227594886,0.650168423737199,0.8429069579155765,17.72222222222222,18,0,locked_3seed_full,6,6
feature_linear_svm_v1,0,0,0,0,0.746111111111111,0.11562097507175421,0.721326918228006,0.13056563920600575,0.721326918228006,0.13056563920600578,0.6612486782916431,0.7828279485470191,0.0,18,0,literature_extension_3seed_full,7,8
tcn_literature_v1,32069,31904,0,165,0.7561111111111111,0.18254798117782287,0.7150783911240796,0.22143355162705988,0.7150783911240796,0.22143355162705985,0.6089775470524388,0.8154748865333296,15.722222222222221,18,0,literature_extension_3seed_full,8,7
lee_style_cnn_lstm_2d_v1,62637,10728,0,2245,0.6622222222222222,0.16975654317468084,0.6268939297423978,0.2077630015513347,0.6268939297423979,0.20776300155133473,0.523712503243493,0.7165242396496089,37.0,18,0,literature_extension_3seed_full,9,9
modality_shared_sensorattn_v3,16103,4128,9730,2245,0.6444444444444444,0.18547902613449982,0.6023492027344007,0.21209795462825212,0.6023492027344007,0.2120979546282521,0.500320234965126,0.6944303967558907,79.22222222222223,18,0,locked_3seed_full,10,10
cnn_lstm_literature_v1,15645,7032,0,165,0.5755555555555555,0.19012341670674582,0.5324827234303142,0.21657279636727989,0.5324827234303142,0.21657279636727989,0.4297629886454323,0.63338006687807,60.111111111111114,18,0,literature_extension_3seed_full,11,11
cnn_gru_literature_v1,13533,7032,0,165,0.5477777777777778,0.21112280669357547,0.504514684514816,0.24323423975369227,0.504514684514816,0.2432342397536923,0.3900979059519772,0.6202152424549698,65.11111111111111,18,0,literature_extension_3seed_full,12,12
cnn2d_baseline_v1,8421,8256,0,165,0.44722222222222224,0.1529998386184899,0.36883441581502296,0.1697711948153554,0.36883441581502296,0.16977119481535544,0.290364976271034,0.44891438345533047,65.33333333333333,18,0,locked_3seed_full,13,13
channel_shared_attentionpool_v2,2950,2064,273,613,0.3794444444444445,0.10839599327477327,0.3135918551332716,0.127523637382928,0.3135918551332716,0.12752363738292796,0.2552738833501098,0.3731084452740907,90.44444444444444,18,0,locked_3seed_full,14,14
channel_shared_meanpool_v2,2677,2064,0,613,0.3172222222222223,0.1058198445763971,0.23562189225932625,0.1262806709034999,0.23562189225932625,0.1262806709034999,0.1779707252050326,0.2954568352480717,61.166666666666664,18,0,locked_3seed_full,15,15
