reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
channel_shared_posres_attention_v3,cnn_gru_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,cnn_lstm_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,feature_linear_svm_v1,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,feature_random_forest_v1,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,lee_style_cnn_lstm_2d_v1,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,rescnn_bigru_attention_lite_v1,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,tcn_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,transformer_encoder_lite_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,cnn_gru_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,cnn_lstm_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,feature_linear_svm_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,feature_random_forest_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,lee_style_cnn_lstm_2d_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,rescnn_bigru_attention_lite_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,tcn_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,transformer_encoder_lite_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,cnn_gru_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,cnn_lstm_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,feature_linear_svm_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,feature_random_forest_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,lee_style_cnn_lstm_2d_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,rescnn_bigru_attention_lite_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,tcn_literature_v1,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,transformer_encoder_lite_v1,macro_f1,0.0,0.0,0.0,0.0,0
feature_random_forest_v1,cnn_gru_literature_v1,macro_f1,-0.28001030796337534,0.19764437187557263,-0.37401252182019445,-0.19011869736954276,18
feature_random_forest_v1,cnn_lstm_literature_v1,macro_f1,-0.25204226904787724,0.18010305966980553,-0.3365343883505072,-0.17004729849558256,18
feature_random_forest_v1,feature_linear_svm_v1,macro_f1,-0.06319807425018523,0.08843710539819687,-0.10571486383805578,-0.022984067169417824,18
feature_random_forest_v1,lee_style_cnn_lstm_2d_v1,macro_f1,-0.15763106273579333,0.21587449551014426,-0.25855102787668743,-0.05981016840759395,18
feature_random_forest_v1,rescnn_bigru_attention_lite_v1,macro_f1,-0.015394177938685145,0.1320240116392465,-0.07612274509061207,0.04504723907056869,18
feature_random_forest_v1,tcn_literature_v1,macro_f1,-0.06944660135411154,0.17191093061256074,-0.15116828632464427,0.008210427479748521,18
feature_random_forest_v1,transformer_encoder_lite_v1,macro_f1,-0.02647619241133738,0.15317040007403715,-0.10052146027676313,0.041291505154851166,18
rescnn_bigru_attention_lite_v1,cnn_gru_literature_v1,macro_f1,-0.2646161300246902,0.1890613702726683,-0.3509803280344182,-0.1741355430785311,18
rescnn_bigru_attention_lite_v1,cnn_lstm_literature_v1,macro_f1,-0.236648091109192,0.1634688184912488,-0.31111106322282683,-0.15933176932828216,18
rescnn_bigru_attention_lite_v1,feature_linear_svm_v1,macro_f1,-0.04780389631150009,0.1241169465276006,-0.1054354503665297,0.009344021093069345,18
rescnn_bigru_attention_lite_v1,feature_random_forest_v1,macro_f1,0.015394177938685145,0.1320240116392465,-0.04504723907056876,0.07612274509061207,18
rescnn_bigru_attention_lite_v1,lee_style_cnn_lstm_2d_v1,macro_f1,-0.1422368847971082,0.16046749750372885,-0.21562714004358843,-0.06760311488915906,18
rescnn_bigru_attention_lite_v1,tcn_literature_v1,macro_f1,-0.05405242341542639,0.16316425271802898,-0.13207156802854467,0.018887078493355712,18
rescnn_bigru_attention_lite_v1,transformer_encoder_lite_v1,macro_f1,-0.011082014472652236,0.10992310295276268,-0.061807922294700716,0.03953610233280412,18
lee_style_cnn_lstm_2d_v1,cnn_gru_literature_v1,macro_f1,-0.12237924522758198,0.16935848658102798,-0.20316573269726637,-0.04619100239814839,18
lee_style_cnn_lstm_2d_v1,cnn_lstm_literature_v1,macro_f1,-0.09441120631208381,0.11817922494756325,-0.15002802468032206,-0.04006244009394614,18
lee_style_cnn_lstm_2d_v1,feature_linear_svm_v1,macro_f1,0.09443298848560813,0.15453552823666403,0.026634825334177326,0.16761333125571867,18
lee_style_cnn_lstm_2d_v1,feature_random_forest_v1,macro_f1,0.15763106273579333,0.21587449551014426,0.05981016840759391,0.25855102787668743,18
lee_style_cnn_lstm_2d_v1,rescnn_bigru_attention_lite_v1,macro_f1,0.1422368847971082,0.16046749750372885,0.06760311488915906,0.2156271400435884,18
lee_style_cnn_lstm_2d_v1,tcn_literature_v1,macro_f1,0.08818446138168182,0.20458266049161833,-0.01469937662398521,0.17123461309513777,18
lee_style_cnn_lstm_2d_v1,transformer_encoder_lite_v1,macro_f1,0.13115487032445594,0.1526261333823094,0.06346144549933706,0.20376407541119593,18
