feature_name,channel_name,statistic,mean_importance,std_importance,n
s1_ax_std,s1_ax,std,0.061164399677313845,0.007450714748836582,18
s1_ax_energy,s1_ax,energy,0.0504906608348613,0.005058901520155789,18
s1_ax_rms,s1_ax,rms,0.04792913022149744,0.00592624527778873,18
s1_ax_max,s1_ax,max,0.04319760491586836,0.004298159453439687,18
s1_gx_mean,s1_gx,mean,0.040878584247735196,0.004548967608483421,18
s1_ax_mean,s1_ax,mean,0.03736766282931551,0.005988615501746338,18
s1_ax_ptp,s1_ax,ptp,0.034696693434116785,0.005800699416719767,18
s1_gy_mean,s1_gy,mean,0.024825433897453366,0.0049890306380283335,18
s2_gy_mean,s2_gy,mean,0.02211745813398193,0.006703732662693301,18
s0_ax_mean,s0_ax,mean,0.02198733220290689,0.007162130619976715,18
s1_ax_median,s1_ax,median,0.019899069692553437,0.003043710029613563,18
s0_az_std,s0_az,std,0.0192538429454557,0.006457807636154582,18
s2_gy_max,s2_gy,max,0.018248362029809492,0.005199174495522265,18
s0_az_min,s0_az,min,0.016971920830265386,0.0048309441223058315,18
s0_ax_median,s0_ax,median,0.01644224911796653,0.005501789664644263,18
s1_gx_median,s1_gx,median,0.014417269696890667,0.0026252083303432744,18
s0_az_energy,s0_az,energy,0.01440495773866122,0.005417837851029616,18
s2_gy_std,s2_gy,std,0.014116974351289101,0.003245662394201898,18
s0_az_rms,s0_az,rms,0.01344340059737717,0.004659474103428473,18
s2_gy_energy,s2_gy,energy,0.013235815790109203,0.003309537435995926,18
s0_az_ptp,s0_az,ptp,0.012419539980885803,0.0036414650475856927,18
s2_gy_rms,s2_gy,rms,0.012259804992799219,0.003409936644921702,18
s1_az_mean,s1_az,mean,0.01061430904454096,0.0020475833504283013,18
s2_gy_ptp,s2_gy,ptp,0.010470133437385657,0.004121446604732748,18
s2_az_std,s2_az,std,0.010208362405958536,0.0027315256481057464,18
s2_az_energy,s2_az,energy,0.009494320666189455,0.0024204134726057247,18
s2_az_rms,s2_az,rms,0.009141847959711662,0.002541937090237922,18
s1_az_std,s1_az,std,0.009000350774211012,0.004150840456993159,18
s1_az_energy,s1_az,energy,0.00800748732205027,0.0037532498465413003,18
s0_az_mean,s0_az,mean,0.007657453114008086,0.0015629430646183018,18
s1_az_rms,s1_az,rms,0.007624803886183051,0.0031577677871454423,18
s0_gy_std,s0_gy,std,0.007524189303062865,0.002419462255529756,18
s0_gy_min,s0_gy,min,0.007495664616659544,0.002735463662729004,18
s2_ay_mean,s2_ay,mean,0.0070777738966380415,0.001905133436270484,18
s1_ay_median,s1_ay,median,0.006992886587847441,0.0014460687642852965,18
s0_gy_rms,s0_gy,rms,0.0069859090567232895,0.0014323610323791146,18
s0_gy_energy,s0_gy,energy,0.006967125638662992,0.0015662141014376578,18
s1_az_dominant_freq_bin,s1_az,dominant_freq_bin,0.006336812122262441,0.004035994145261193,18
s1_gz_min,s1_gz,min,0.0061638397052843335,0.002115589925664554,18
s0_ay_mean,s0_ay,mean,0.005744145462665429,0.0012555011522768658,18
s0_ay_median,s0_ay,median,0.005515989198208783,0.0014896124658919597,18
s1_gz_median,s1_gz,median,0.005503103577296046,0.002488149344966587,18
s2_az_mean,s2_az,mean,0.005218969503694563,0.0011831128364865127,18
s0_az_median,s0_az,median,0.005149632773485489,0.0011556204067678718,18
s0_ax_std,s0_ax,std,0.004853280547368349,0.001150178160592397,18
s1_gy_max,s1_gy,max,0.004844298233398682,0.0020745744689007095,18
s1_az_max,s1_az,max,0.004809795002927031,0.0014185998259212142,18
s2_az_median,s2_az,median,0.004754899970303074,0.0010306184418967116,18
s0_gy_dominant_freq_bin,s0_gy,dominant_freq_bin,0.004707586732648832,0.003048863991726166,18
s1_ay_mean,s1_ay,mean,0.004614032929693765,0.0017777405939536496,18
s2_az_max,s2_az,max,0.004525901768482476,0.0017671872041153712,18
s0_gy_ptp,s0_gy,ptp,0.004488878424262027,0.0012652584781009657,18
s0_ax_rms,s0_ax,rms,0.004352989487731929,0.0010622697105886814,18
s1_az_median,s1_az,median,0.004306645641573374,0.0008465138150595512,18
s1_gz_energy,s1_gz,energy,0.004291431624765857,0.001155282527119804,18
s0_ax_energy,s0_ax,energy,0.004265326857458144,0.001175283507360049,18
s1_gy_std,s1_gy,std,0.004255150276867343,0.0014972896974173688,18
s1_gz_rms,s1_gz,rms,0.00396512583689565,0.0009438858428964644,18
s0_az_max,s0_az,max,0.0038826200183189777,0.0008135876034726988,18
s2_az_ptp,s2_az,ptp,0.003873885039354319,0.001060707251337457,18
s1_gz_std,s1_gz,std,0.003856200228179207,0.0011957111616062806,18
s0_ax_min,s0_ax,min,0.003707781243177944,0.0009582816914292403,18
s1_gy_energy,s1_gy,energy,0.003635860709297433,0.0013394444428999205,18
s1_gy_rms,s1_gy,rms,0.003627038611740222,0.0010758222090058347,18
s2_ay_median,s2_ay,median,0.003554442933514689,0.0011522955368102304,18
s2_ax_median,s2_ax,median,0.003542312125182859,0.0009801472408294428,18
s2_ax_mean,s2_ax,mean,0.003463680226103586,0.0011022219998579898,18
s0_ax_ptp,s0_ax,ptp,0.003375442584938316,0.0007374998068031612,18
s2_gz_rms,s2_gz,rms,0.0032980616775582683,0.0008210350714541471,18
s1_ay_energy,s1_ay,energy,0.0032420783618336353,0.000940232651524804,18
s2_gx_std,s2_gx,std,0.0032265727584159013,0.0008957769789432694,18
s2_ax_std,s2_ax,std,0.003141298877914328,0.0009095060723440293,18
s2_gx_energy,s2_gx,energy,0.0031369523305049963,0.0011461659168365622,18
s2_gx_rms,s2_gx,rms,0.003100354565800208,0.000745780397067204,18
s1_gz_ptp,s1_gz,ptp,0.0030628542984613336,0.0005908567541631585,18
s1_gy_ptp,s1_gy,ptp,0.003051171569043463,0.0011931571262075117,18
s1_ax_min,s1_ax,min,0.0029616445372218753,0.0012911904272385544,18
s2_gz_energy,s2_gz,energy,0.0029135179485244586,0.0008751412143827516,18
s2_gz_std,s2_gz,std,0.0028778432836848783,0.000830431236242563,18
s2_ax_min,s2_ax,min,0.0028545310705490753,0.0008203126631820524,18
s2_gy_min,s2_gy,min,0.0028518272953099973,0.0006305036866207782,18
s1_ay_rms,s1_ay,rms,0.0028282051084782753,0.0007899465419181146,18
s2_az_min,s2_az,min,0.0027990455768496132,0.0008150838403756488,18
s0_ax_max,s0_ax,max,0.0027186431716976684,0.0007447687216002333,18
s2_ay_min,s2_ay,min,0.0027147722049025063,0.0011805943704669129,18
s1_ay_std,s1_ay,std,0.0025452561666457797,0.0006079997645087534,18
s0_ay_max,s0_ay,max,0.002512885029184491,0.0009585555830335856,18
s0_gy_max,s0_gy,max,0.002509671093138145,0.0007524134444875463,18
s1_az_ptp,s1_az,ptp,0.002506848310633163,0.0009021271050467533,18
s0_gz_ptp,s0_gz,ptp,0.002496712947951272,0.0009372219533061762,18
s2_ay_ptp,s2_ay,ptp,0.002472040118222289,0.0007869112842133525,18
s1_gy_dominant_freq_bin,s1_gy,dominant_freq_bin,0.0024136865869617843,0.0010382890940609907,18
s2_ay_max,s2_ay,max,0.002394631049831839,0.0007597496125196752,18
s2_gx_mean,s2_gx,mean,0.0023858794768863907,0.0009616663181965177,18
s2_gz_median,s2_gz,median,0.002344543294362735,0.0009917577692909183,18
s0_gz_std,s0_gz,std,0.0023384853235119967,0.0007292304333734284,18
s0_gz_energy,s0_gz,energy,0.002266730692191908,0.0008199449302566032,18
s1_gz_mean,s1_gz,mean,0.002257858559691649,0.0007224612968260787,18
s2_ax_energy,s2_ax,energy,0.0022102995785182457,0.0009541707509889082,18
