scope,model_name,seed,fold_id,test_subject,true_class,pred_class,count
fold,all_channel_conv1d_v1,42,1,1,0,0,0
fold,all_channel_conv1d_v1,42,1,1,0,1,19
fold,all_channel_conv1d_v1,42,1,1,0,2,1
fold,all_channel_conv1d_v1,42,1,1,0,3,0
fold,all_channel_conv1d_v1,42,1,1,0,4,0
fold,all_channel_conv1d_v1,42,1,1,1,0,0
fold,all_channel_conv1d_v1,42,1,1,1,1,20
fold,all_channel_conv1d_v1,42,1,1,1,2,0
fold,all_channel_conv1d_v1,42,1,1,1,3,0
fold,all_channel_conv1d_v1,42,1,1,1,4,0
fold,all_channel_conv1d_v1,42,1,1,2,0,0
fold,all_channel_conv1d_v1,42,1,1,2,1,0
fold,all_channel_conv1d_v1,42,1,1,2,2,20
fold,all_channel_conv1d_v1,42,1,1,2,3,0
fold,all_channel_conv1d_v1,42,1,1,2,4,0
fold,all_channel_conv1d_v1,42,1,1,3,0,0
fold,all_channel_conv1d_v1,42,1,1,3,1,2
fold,all_channel_conv1d_v1,42,1,1,3,2,0
fold,all_channel_conv1d_v1,42,1,1,3,3,5
fold,all_channel_conv1d_v1,42,1,1,3,4,13
fold,all_channel_conv1d_v1,42,1,1,4,0,0
fold,all_channel_conv1d_v1,42,1,1,4,1,0
fold,all_channel_conv1d_v1,42,1,1,4,2,0
fold,all_channel_conv1d_v1,42,1,1,4,3,0
fold,all_channel_conv1d_v1,42,1,1,4,4,20
fold,all_channel_conv1d_small,42,1,1,0,0,0
fold,all_channel_conv1d_small,42,1,1,0,1,14
fold,all_channel_conv1d_small,42,1,1,0,2,6
fold,all_channel_conv1d_small,42,1,1,0,3,0
fold,all_channel_conv1d_small,42,1,1,0,4,0
fold,all_channel_conv1d_small,42,1,1,1,0,0
fold,all_channel_conv1d_small,42,1,1,1,1,20
fold,all_channel_conv1d_small,42,1,1,1,2,0
fold,all_channel_conv1d_small,42,1,1,1,3,0
fold,all_channel_conv1d_small,42,1,1,1,4,0
fold,all_channel_conv1d_small,42,1,1,2,0,0
fold,all_channel_conv1d_small,42,1,1,2,1,0
fold,all_channel_conv1d_small,42,1,1,2,2,20
fold,all_channel_conv1d_small,42,1,1,2,3,0
fold,all_channel_conv1d_small,42,1,1,2,4,0
fold,all_channel_conv1d_small,42,1,1,3,0,0
fold,all_channel_conv1d_small,42,1,1,3,1,3
fold,all_channel_conv1d_small,42,1,1,3,2,0
fold,all_channel_conv1d_small,42,1,1,3,3,17
fold,all_channel_conv1d_small,42,1,1,3,4,0
fold,all_channel_conv1d_small,42,1,1,4,0,0
fold,all_channel_conv1d_small,42,1,1,4,1,7
fold,all_channel_conv1d_small,42,1,1,4,2,0
fold,all_channel_conv1d_small,42,1,1,4,3,2
fold,all_channel_conv1d_small,42,1,1,4,4,11
fold,cnn2d_baseline_v1,42,1,1,0,0,0
fold,cnn2d_baseline_v1,42,1,1,0,1,18
fold,cnn2d_baseline_v1,42,1,1,0,2,0
fold,cnn2d_baseline_v1,42,1,1,0,3,2
fold,cnn2d_baseline_v1,42,1,1,0,4,0
fold,cnn2d_baseline_v1,42,1,1,1,0,0
fold,cnn2d_baseline_v1,42,1,1,1,1,20
fold,cnn2d_baseline_v1,42,1,1,1,2,0
fold,cnn2d_baseline_v1,42,1,1,1,3,0
fold,cnn2d_baseline_v1,42,1,1,1,4,0
fold,cnn2d_baseline_v1,42,1,1,2,0,0
fold,cnn2d_baseline_v1,42,1,1,2,1,18
fold,cnn2d_baseline_v1,42,1,1,2,2,2
fold,cnn2d_baseline_v1,42,1,1,2,3,0
fold,cnn2d_baseline_v1,42,1,1,2,4,0
fold,cnn2d_baseline_v1,42,1,1,3,0,0
fold,cnn2d_baseline_v1,42,1,1,3,1,8
fold,cnn2d_baseline_v1,42,1,1,3,2,0
fold,cnn2d_baseline_v1,42,1,1,3,3,11
fold,cnn2d_baseline_v1,42,1,1,3,4,1
fold,cnn2d_baseline_v1,42,1,1,4,0,0
fold,cnn2d_baseline_v1,42,1,1,4,1,3
fold,cnn2d_baseline_v1,42,1,1,4,2,0
fold,cnn2d_baseline_v1,42,1,1,4,3,11
fold,cnn2d_baseline_v1,42,1,1,4,4,6
fold,channel_shared_meanpool_v2,42,1,1,0,0,0
fold,channel_shared_meanpool_v2,42,1,1,0,1,0
fold,channel_shared_meanpool_v2,42,1,1,0,2,20
fold,channel_shared_meanpool_v2,42,1,1,0,3,0
fold,channel_shared_meanpool_v2,42,1,1,0,4,0
fold,channel_shared_meanpool_v2,42,1,1,1,0,0
fold,channel_shared_meanpool_v2,42,1,1,1,1,0
fold,channel_shared_meanpool_v2,42,1,1,1,2,20
fold,channel_shared_meanpool_v2,42,1,1,1,3,0
fold,channel_shared_meanpool_v2,42,1,1,1,4,0
fold,channel_shared_meanpool_v2,42,1,1,2,0,0
fold,channel_shared_meanpool_v2,42,1,1,2,1,0
fold,channel_shared_meanpool_v2,42,1,1,2,2,20
fold,channel_shared_meanpool_v2,42,1,1,2,3,0
fold,channel_shared_meanpool_v2,42,1,1,2,4,0
fold,channel_shared_meanpool_v2,42,1,1,3,0,1
fold,channel_shared_meanpool_v2,42,1,1,3,1,15
fold,channel_shared_meanpool_v2,42,1,1,3,2,4
fold,channel_shared_meanpool_v2,42,1,1,3,3,0
fold,channel_shared_meanpool_v2,42,1,1,3,4,0
fold,channel_shared_meanpool_v2,42,1,1,4,0,4
fold,channel_shared_meanpool_v2,42,1,1,4,1,9
fold,channel_shared_meanpool_v2,42,1,1,4,2,4
fold,channel_shared_meanpool_v2,42,1,1,4,3,3
fold,channel_shared_meanpool_v2,42,1,1,4,4,0
fold,channel_shared_attentionpool_v2,42,1,1,0,0,4
fold,channel_shared_attentionpool_v2,42,1,1,0,1,0
fold,channel_shared_attentionpool_v2,42,1,1,0,2,0
fold,channel_shared_attentionpool_v2,42,1,1,0,3,0
fold,channel_shared_attentionpool_v2,42,1,1,0,4,16
fold,channel_shared_attentionpool_v2,42,1,1,1,0,5
fold,channel_shared_attentionpool_v2,42,1,1,1,1,8
fold,channel_shared_attentionpool_v2,42,1,1,1,2,0
fold,channel_shared_attentionpool_v2,42,1,1,1,3,0
fold,channel_shared_attentionpool_v2,42,1,1,1,4,7
fold,channel_shared_attentionpool_v2,42,1,1,2,0,1
fold,channel_shared_attentionpool_v2,42,1,1,2,1,19
fold,channel_shared_attentionpool_v2,42,1,1,2,2,0
fold,channel_shared_attentionpool_v2,42,1,1,2,3,0
fold,channel_shared_attentionpool_v2,42,1,1,2,4,0
fold,channel_shared_attentionpool_v2,42,1,1,3,0,20
fold,channel_shared_attentionpool_v2,42,1,1,3,1,0
fold,channel_shared_attentionpool_v2,42,1,1,3,2,0
fold,channel_shared_attentionpool_v2,42,1,1,3,3,0
fold,channel_shared_attentionpool_v2,42,1,1,3,4,0
fold,channel_shared_attentionpool_v2,42,1,1,4,0,5
fold,channel_shared_attentionpool_v2,42,1,1,4,1,0
fold,channel_shared_attentionpool_v2,42,1,1,4,2,0
fold,channel_shared_attentionpool_v2,42,1,1,4,3,0
fold,channel_shared_attentionpool_v2,42,1,1,4,4,15
fold,channel_shared_posres_attention_v3,42,1,1,0,0,19
fold,channel_shared_posres_attention_v3,42,1,1,0,1,1
fold,channel_shared_posres_attention_v3,42,1,1,0,2,0
fold,channel_shared_posres_attention_v3,42,1,1,0,3,0
fold,channel_shared_posres_attention_v3,42,1,1,0,4,0
fold,channel_shared_posres_attention_v3,42,1,1,1,0,0
fold,channel_shared_posres_attention_v3,42,1,1,1,1,20
fold,channel_shared_posres_attention_v3,42,1,1,1,2,0
fold,channel_shared_posres_attention_v3,42,1,1,1,3,0
fold,channel_shared_posres_attention_v3,42,1,1,1,4,0
fold,channel_shared_posres_attention_v3,42,1,1,2,0,0
fold,channel_shared_posres_attention_v3,42,1,1,2,1,4
fold,channel_shared_posres_attention_v3,42,1,1,2,2,16
fold,channel_shared_posres_attention_v3,42,1,1,2,3,0
fold,channel_shared_posres_attention_v3,42,1,1,2,4,0
fold,channel_shared_posres_attention_v3,42,1,1,3,0,0
fold,channel_shared_posres_attention_v3,42,1,1,3,1,0
fold,channel_shared_posres_attention_v3,42,1,1,3,2,0
fold,channel_shared_posres_attention_v3,42,1,1,3,3,20
fold,channel_shared_posres_attention_v3,42,1,1,3,4,0
fold,channel_shared_posres_attention_v3,42,1,1,4,0,3
fold,channel_shared_posres_attention_v3,42,1,1,4,1,0
fold,channel_shared_posres_attention_v3,42,1,1,4,2,0
fold,channel_shared_posres_attention_v3,42,1,1,4,3,1
fold,channel_shared_posres_attention_v3,42,1,1,4,4,16
fold,modality_shared_sensorattn_v3,42,1,1,0,0,9
fold,modality_shared_sensorattn_v3,42,1,1,0,1,0
fold,modality_shared_sensorattn_v3,42,1,1,0,2,11
fold,modality_shared_sensorattn_v3,42,1,1,0,3,0
fold,modality_shared_sensorattn_v3,42,1,1,0,4,0
fold,modality_shared_sensorattn_v3,42,1,1,1,0,0
fold,modality_shared_sensorattn_v3,42,1,1,1,1,18
fold,modality_shared_sensorattn_v3,42,1,1,1,2,2
fold,modality_shared_sensorattn_v3,42,1,1,1,3,0
fold,modality_shared_sensorattn_v3,42,1,1,1,4,0
fold,modality_shared_sensorattn_v3,42,1,1,2,0,0
fold,modality_shared_sensorattn_v3,42,1,1,2,1,0
fold,modality_shared_sensorattn_v3,42,1,1,2,2,20
fold,modality_shared_sensorattn_v3,42,1,1,2,3,0
fold,modality_shared_sensorattn_v3,42,1,1,2,4,0
fold,modality_shared_sensorattn_v3,42,1,1,3,0,1
fold,modality_shared_sensorattn_v3,42,1,1,3,1,0
fold,modality_shared_sensorattn_v3,42,1,1,3,2,0
fold,modality_shared_sensorattn_v3,42,1,1,3,3,19
fold,modality_shared_sensorattn_v3,42,1,1,3,4,0
fold,modality_shared_sensorattn_v3,42,1,1,4,0,0
fold,modality_shared_sensorattn_v3,42,1,1,4,1,0
fold,modality_shared_sensorattn_v3,42,1,1,4,2,0
fold,modality_shared_sensorattn_v3,42,1,1,4,3,1
fold,modality_shared_sensorattn_v3,42,1,1,4,4,19
fold,all_channel_conv1d_v1,42,2,2,0,0,19
fold,all_channel_conv1d_v1,42,2,2,0,1,0
fold,all_channel_conv1d_v1,42,2,2,0,2,1
fold,all_channel_conv1d_v1,42,2,2,0,3,0
fold,all_channel_conv1d_v1,42,2,2,0,4,0
fold,all_channel_conv1d_v1,42,2,2,1,0,0
fold,all_channel_conv1d_v1,42,2,2,1,1,20
fold,all_channel_conv1d_v1,42,2,2,1,2,0
fold,all_channel_conv1d_v1,42,2,2,1,3,0
fold,all_channel_conv1d_v1,42,2,2,1,4,0
fold,all_channel_conv1d_v1,42,2,2,2,0,1
fold,all_channel_conv1d_v1,42,2,2,2,1,0
fold,all_channel_conv1d_v1,42,2,2,2,2,19
fold,all_channel_conv1d_v1,42,2,2,2,3,0
fold,all_channel_conv1d_v1,42,2,2,2,4,0
fold,all_channel_conv1d_v1,42,2,2,3,0,7
fold,all_channel_conv1d_v1,42,2,2,3,1,0
fold,all_channel_conv1d_v1,42,2,2,3,2,10
fold,all_channel_conv1d_v1,42,2,2,3,3,3
fold,all_channel_conv1d_v1,42,2,2,3,4,0
fold,all_channel_conv1d_v1,42,2,2,4,0,0
fold,all_channel_conv1d_v1,42,2,2,4,1,0
fold,all_channel_conv1d_v1,42,2,2,4,2,0
fold,all_channel_conv1d_v1,42,2,2,4,3,0
fold,all_channel_conv1d_v1,42,2,2,4,4,20
fold,all_channel_conv1d_small,42,2,2,0,0,20
fold,all_channel_conv1d_small,42,2,2,0,1,0
fold,all_channel_conv1d_small,42,2,2,0,2,0
fold,all_channel_conv1d_small,42,2,2,0,3,0
fold,all_channel_conv1d_small,42,2,2,0,4,0
fold,all_channel_conv1d_small,42,2,2,1,0,0
fold,all_channel_conv1d_small,42,2,2,1,1,20
fold,all_channel_conv1d_small,42,2,2,1,2,0
fold,all_channel_conv1d_small,42,2,2,1,3,0
fold,all_channel_conv1d_small,42,2,2,1,4,0
fold,all_channel_conv1d_small,42,2,2,2,0,1
fold,all_channel_conv1d_small,42,2,2,2,1,0
fold,all_channel_conv1d_small,42,2,2,2,2,19
fold,all_channel_conv1d_small,42,2,2,2,3,0
fold,all_channel_conv1d_small,42,2,2,2,4,0
fold,all_channel_conv1d_small,42,2,2,3,0,10
fold,all_channel_conv1d_small,42,2,2,3,1,0
fold,all_channel_conv1d_small,42,2,2,3,2,9
fold,all_channel_conv1d_small,42,2,2,3,3,1
fold,all_channel_conv1d_small,42,2,2,3,4,0
fold,all_channel_conv1d_small,42,2,2,4,0,0
fold,all_channel_conv1d_small,42,2,2,4,1,0
fold,all_channel_conv1d_small,42,2,2,4,2,0
fold,all_channel_conv1d_small,42,2,2,4,3,0
fold,all_channel_conv1d_small,42,2,2,4,4,20
fold,cnn2d_baseline_v1,42,2,2,0,0,12
fold,cnn2d_baseline_v1,42,2,2,0,1,7
fold,cnn2d_baseline_v1,42,2,2,0,2,1
fold,cnn2d_baseline_v1,42,2,2,0,3,0
fold,cnn2d_baseline_v1,42,2,2,0,4,0
fold,cnn2d_baseline_v1,42,2,2,1,0,0
fold,cnn2d_baseline_v1,42,2,2,1,1,20
fold,cnn2d_baseline_v1,42,2,2,1,2,0
fold,cnn2d_baseline_v1,42,2,2,1,3,0
fold,cnn2d_baseline_v1,42,2,2,1,4,0
fold,cnn2d_baseline_v1,42,2,2,2,0,0
fold,cnn2d_baseline_v1,42,2,2,2,1,11
fold,cnn2d_baseline_v1,42,2,2,2,2,9
fold,cnn2d_baseline_v1,42,2,2,2,3,0
fold,cnn2d_baseline_v1,42,2,2,2,4,0
