reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
channel_shared_posres_attention_v3,all_channel_conv1d_small,macro_f1,-0.036784419746011814,0.15261734650097786,-0.10972734928149058,0.03194208891148915,18
channel_shared_posres_attention_v3,all_channel_conv1d_v1,macro_f1,-0.057685415173650584,0.1932238403280783,-0.15111864586055954,0.025067051840146293,18
channel_shared_posres_attention_v3,channel_shared_attentionpool_v2,macro_f1,-0.49723295874208834,0.14471806864198825,-0.5607163173228636,-0.4274216893274321,18
channel_shared_posres_attention_v3,channel_shared_meanpool_v2,macro_f1,-0.5752029216160337,0.12462588725606363,-0.6323575028817023,-0.5172576229260464,18
channel_shared_posres_attention_v3,cnn2d_baseline_v1,macro_f1,-0.44199039806033696,0.17036811407836336,-0.5206356669162168,-0.36392134350442223,18
channel_shared_posres_attention_v3,cnn_gru_literature_v1,macro_f1,-0.30631012936054397,0.2248571751230083,-0.4150257840358322,-0.2035599930658603,18
channel_shared_posres_attention_v3,cnn_lstm_literature_v1,macro_f1,-0.2783420904450458,0.21057882859292815,-0.3778572677122572,-0.18305127359040896,18
channel_shared_posres_attention_v3,feature_linear_svm_v1,macro_f1,-0.0894978956473539,0.11717227647480569,-0.14634649203278025,-0.037264084751298845,18
channel_shared_posres_attention_v3,feature_random_forest_v1,macro_f1,-0.02629982139716868,0.06073995879276158,-0.05530208229051602,0.001902137752359237,18
channel_shared_posres_attention_v3,lee_style_cnn_lstm_2d_v1,macro_f1,-0.183930884132962,0.23403400924225903,-0.29778034203366577,-0.08209789919548309,18
channel_shared_posres_attention_v3,modality_shared_sensorattn_v3,macro_f1,-0.2084756111409591,0.18953041856995065,-0.2984558481361107,-0.12490370502665173,18
channel_shared_posres_attention_v3,rescnn_bigru_attention_lite_v1,macro_f1,-0.041693999335853826,0.13462205938427516,-0.10511592687895796,0.019233351639748715,18
channel_shared_posres_attention_v3,tcn_literature_v1,macro_f1,-0.0957464227512802,0.20466594703634036,-0.19416139092200585,-0.005228749773382577,18
channel_shared_posres_attention_v3,transformer_encoder_lite_v1,macro_f1,-0.05277601380850606,0.15860165078859534,-0.1337524576023107,0.01049865580190995,18
all_channel_conv1d_v1,all_channel_conv1d_small,macro_f1,0.020900995427638767,0.13341764236160691,-0.033416198484440156,0.08679413478592868,18
all_channel_conv1d_v1,channel_shared_attentionpool_v2,macro_f1,-0.4395475435684377,0.18050397365181792,-0.521771411392469,-0.3540111494981243,18
all_channel_conv1d_v1,channel_shared_meanpool_v2,macro_f1,-0.517517506442383,0.16444461373598,-0.5943272094893461,-0.4392206879254626,18
all_channel_conv1d_v1,channel_shared_posres_attention_v3,macro_f1,0.057685415173650584,0.1932238403280783,-0.025067051840146303,0.1511186458605595,18
all_channel_conv1d_v1,cnn2d_baseline_v1,macro_f1,-0.3843049828866864,0.20270277358444433,-0.4790713839247659,-0.29016953456608063,18
