model_name,seed,fold_id,test_subject,feature_index,feature_name,channel_name,statistic,importance
feature_random_forest_v1,42,1,1,0,s0_ax_mean,s0_ax,mean,0.02032215460868333
feature_random_forest_v1,42,1,1,1,s0_ay_mean,s0_ay,mean,0.0041645995355163515
feature_random_forest_v1,42,1,1,2,s0_az_mean,s0_az,mean,0.008991917682303561
feature_random_forest_v1,42,1,1,3,s0_gx_mean,s0_gx,mean,0.0010674642688743119
feature_random_forest_v1,42,1,1,4,s0_gy_mean,s0_gy,mean,0.0006738011243266663
feature_random_forest_v1,42,1,1,5,s0_gz_mean,s0_gz,mean,0.0012504949425654528
feature_random_forest_v1,42,1,1,6,s1_ax_mean,s1_ax,mean,0.046161444566617534
feature_random_forest_v1,42,1,1,7,s1_ay_mean,s1_ay,mean,0.006322465955379996
feature_random_forest_v1,42,1,1,8,s1_az_mean,s1_az,mean,0.007822159514010475
feature_random_forest_v1,42,1,1,9,s1_gx_mean,s1_gx,mean,0.04190454601814798
feature_random_forest_v1,42,1,1,10,s1_gy_mean,s1_gy,mean,0.02988419149733929
feature_random_forest_v1,42,1,1,11,s1_gz_mean,s1_gz,mean,0.0016007439052639141
feature_random_forest_v1,42,1,1,12,s2_ax_mean,s2_ax,mean,0.005480953835796394
feature_random_forest_v1,42,1,1,13,s2_ay_mean,s2_ay,mean,0.0053530705045938065
feature_random_forest_v1,42,1,1,14,s2_az_mean,s2_az,mean,0.006881469266669583
feature_random_forest_v1,42,1,1,15,s2_gx_mean,s2_gx,mean,0.002631833595182406
feature_random_forest_v1,42,1,1,16,s2_gy_mean,s2_gy,mean,0.024831171002607427
feature_random_forest_v1,42,1,1,17,s2_gz_mean,s2_gz,mean,0.0007999961619076176
feature_random_forest_v1,42,1,1,18,s0_ax_std,s0_ax,std,0.0036032221818251427
feature_random_forest_v1,42,1,1,19,s0_ay_std,s0_ay,std,0.0007856043895532203
feature_random_forest_v1,42,1,1,20,s0_az_std,s0_az,std,0.012895674990420922
feature_random_forest_v1,42,1,1,21,s0_gx_std,s0_gx,std,0.0008453405081062809
feature_random_forest_v1,42,1,1,22,s0_gy_std,s0_gy,std,0.004435730419205514
feature_random_forest_v1,42,1,1,23,s0_gz_std,s0_gz,std,0.0013179027221216814
feature_random_forest_v1,42,1,1,24,s1_ax_std,s1_ax,std,0.05044599759693
feature_random_forest_v1,42,1,1,25,s1_ay_std,s1_ay,std,0.003712079984115173
feature_random_forest_v1,42,1,1,26,s1_az_std,s1_az,std,0.00840706234590859
feature_random_forest_v1,42,1,1,27,s1_gx_std,s1_gx,std,0.0011744970699516086
feature_random_forest_v1,42,1,1,28,s1_gy_std,s1_gy,std,0.006014787791258246
feature_random_forest_v1,42,1,1,29,s1_gz_std,s1_gz,std,0.004655739212471419
feature_random_forest_v1,42,1,1,30,s2_ax_std,s2_ax,std,0.003906050938199142
feature_random_forest_v1,42,1,1,31,s2_ay_std,s2_ay,std,0.0016085623021811623
feature_random_forest_v1,42,1,1,32,s2_az_std,s2_az,std,0.015501703803161323
feature_random_forest_v1,42,1,1,33,s2_gx_std,s2_gx,std,0.002333809736401049
feature_random_forest_v1,42,1,1,34,s2_gy_std,s2_gy,std,0.011315664309460412
feature_random_forest_v1,42,1,1,35,s2_gz_std,s2_gz,std,0.002567951030902169
feature_random_forest_v1,42,1,1,36,s0_ax_min,s0_ax,min,0.002792681180843092
feature_random_forest_v1,42,1,1,37,s0_ay_min,s0_ay,min,0.0010755553903965675
