model_name,seed,fold_id,test_subject,checkpoint,n_test_windows,best_epoch,best_val_macro_f1,scaler_fit_scope,inference_only
channel_shared_posres_attention_v3,42,1,1,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_42/checkpoints/channel_shared_posres_attention_v3/fold_01_best.pt,100,55,0.9499749843652283,train_indices_only,True
channel_shared_posres_attention_v3,42,2,2,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_42/checkpoints/channel_shared_posres_attention_v3/fold_02_best.pt,100,21,0.950149075730471,train_indices_only,True
channel_shared_posres_attention_v3,42,3,3,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_42/checkpoints/channel_shared_posres_attention_v3/fold_03_best.pt,100,47,0.9899937460913071,train_indices_only,True
channel_shared_posres_attention_v3,42,4,4,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_42/checkpoints/channel_shared_posres_attention_v3/fold_04_best.pt,100,45,0.9802197802197803,train_indices_only,True
channel_shared_posres_attention_v3,42,5,5,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_42/checkpoints/channel_shared_posres_attention_v3/fold_05_best.pt,100,44,0.9607655502392344,train_indices_only,True
channel_shared_posres_attention_v3,42,6,6,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_42/checkpoints/channel_shared_posres_attention_v3/fold_06_best.pt,100,42,1.0,train_indices_only,True
channel_shared_posres_attention_v3,123,1,1,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_123/checkpoints/channel_shared_posres_attention_v3/fold_01_best.pt,100,31,1.0,train_indices_only,True
channel_shared_posres_attention_v3,123,2,2,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_123/checkpoints/channel_shared_posres_attention_v3/fold_02_best.pt,100,30,0.9899937460913071,train_indices_only,True
channel_shared_posres_attention_v3,123,3,3,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_123/checkpoints/channel_shared_posres_attention_v3/fold_03_best.pt,100,12,0.9899937460913071,train_indices_only,True
channel_shared_posres_attention_v3,123,4,4,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_123/checkpoints/channel_shared_posres_attention_v3/fold_04_best.pt,100,28,0.9799937460913071,train_indices_only,True
channel_shared_posres_attention_v3,123,5,5,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_123/checkpoints/channel_shared_posres_attention_v3/fold_05_best.pt,100,63,0.9802197802197803,train_indices_only,True
channel_shared_posres_attention_v3,123,6,6,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_123/checkpoints/channel_shared_posres_attention_v3/fold_06_best.pt,100,30,0.9899937460913071,train_indices_only,True
channel_shared_posres_attention_v3,2025,1,1,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_2025/checkpoints/channel_shared_posres_attention_v3/fold_01_best.pt,100,16,0.9602376485303316,train_indices_only,True
channel_shared_posres_attention_v3,2025,2,2,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_2025/checkpoints/channel_shared_posres_attention_v3/fold_02_best.pt,100,46,0.9899937460913071,train_indices_only,True
channel_shared_posres_attention_v3,2025,3,3,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_2025/checkpoints/channel_shared_posres_attention_v3/fold_03_best.pt,100,60,0.9702313946216385,train_indices_only,True
channel_shared_posres_attention_v3,2025,4,4,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_2025/checkpoints/channel_shared_posres_attention_v3/fold_04_best.pt,100,21,0.9802197802197803,train_indices_only,True
channel_shared_posres_attention_v3,2025,5,5,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_2025/checkpoints/channel_shared_posres_attention_v3/fold_05_best.pt,100,45,0.9799937460913071,train_indices_only,True
channel_shared_posres_attention_v3,2025,6,6,results/full_supervised_matrix/20260617_144309_full_supervised_matrix_v1/runs/channel_shared_posres_attention_v3/seed_2025/checkpoints/channel_shared_posres_attention_v3/fold_06_best.pt,100,41,0.9899937460913071,train_indices_only,True
