scope,model_name,seed,fold_id,test_subject,true_class,pred_class,count
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,0,0,5
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,0,1,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,0,2,9
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,0,3,6
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,0,4,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,1,0,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,1,1,18
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,1,2,2
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,1,3,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,1,4,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,2,0,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,2,1,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,2,2,20
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,2,3,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,2,4,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,3,0,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,3,1,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,3,2,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,3,3,15
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,3,4,5
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,4,0,1
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,4,1,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,4,2,0
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,4,3,1
fold,channel_shared_posres_attention_v3_no_residual,42,1,1,4,4,18
fold,channel_shared_posres_attention_v3_residual_only_mlp,42,1,1,0,0,14
fold,channel_shared_posres_attention_v3_residual_only_mlp,42,1,1,0,1,2
fold,channel_shared_posres_attention_v3_residual_only_mlp,42,1,1,0,2,4
fold,channel_shared_posres_attention_v3_residual_only_mlp,42,1,1,0,3,0
fold,channel_shared_posres_attention_v3_residual_only_mlp,42,1,1,0,4,0
fold,channel_shared_posres_attention_v3_residual_only_mlp,42,1,1,1,0,0
fold,channel_shared_posres_attention_v3_residual_only_mlp,42,1,1,1,1,20
