reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
rescnn_bigru_attention_lite_v1,all_channel_conv1d_small,macro_f1,0.004909579589842015,0.11220628115205836,-0.04624288181428291,0.056369489671594664,18
rescnn_bigru_attention_lite_v1,all_channel_conv1d_v1,macro_f1,-0.01599141583779675,0.1946737711739715,-0.11270907882903632,0.06258779255187474,18
rescnn_bigru_attention_lite_v1,channel_shared_attentionpool_v2,macro_f1,-0.45553895940623446,0.16131534172672202,-0.5287352590008327,-0.38001053339748375,18
rescnn_bigru_attention_lite_v1,channel_shared_meanpool_v2,macro_f1,-0.5335089222801798,0.15227074565446783,-0.6052795300754971,-0.4651878279030817,18
rescnn_bigru_attention_lite_v1,channel_shared_posres_attention_v3,macro_f1,0.041693999335853826,0.13462205938427516,-0.019233351639748736,0.10511592687895789,18
rescnn_bigru_attention_lite_v1,channel_shared_posres_attention_v3_no_identity,macro_f1,-0.0016731518677681005,0.16249323088248635,-0.0781413014361487,0.07041034358790645,18
rescnn_bigru_attention_lite_v1,channel_shared_posres_attention_v3_no_residual,macro_f1,-0.17541094048071637,0.16412390359803689,-0.25105326278616796,-0.09713109814136253,18
rescnn_bigru_attention_lite_v1,channel_shared_posres_attention_v3_residual_only_mlp,macro_f1,0.03446879678827542,0.17996785387691577,-0.04592970012298762,0.1204682838916451,18
rescnn_bigru_attention_lite_v1,channel_shared_posres_meanpool_v3_no_attention,macro_f1,0.03908991614585526,0.16386238710384063,-0.03368366623360436,0.1171375376357863,18
rescnn_bigru_attention_lite_v1,cnn2d_baseline_v1,macro_f1,-0.40029639872448314,0.18489300775004322,-0.4880094112730956,-0.3157681334151959,18
rescnn_bigru_attention_lite_v1,cnn_gru_literature_v1,macro_f1,-0.2646161300246902,0.1890613702726683,-0.3509803280344182,-0.1741355430785311,18
rescnn_bigru_attention_lite_v1,cnn_lstm_literature_v1,macro_f1,-0.236648091109192,0.1634688184912488,-0.31111106322282683,-0.15933176932828216,18
rescnn_bigru_attention_lite_v1,feature_linear_svm_v1,macro_f1,-0.04780389631150009,0.1241169465276006,-0.1054354503665297,0.009344021093069345,18
rescnn_bigru_attention_lite_v1,feature_random_forest_v1,macro_f1,0.015394177938685145,0.1320240116392465,-0.04504723907056876,0.07612274509061207,18
rescnn_bigru_attention_lite_v1,lee_style_cnn_lstm_2d_v1,macro_f1,-0.1422368847971082,0.16046749750372885,-0.21562714004358843,-0.06760311488915906,18
rescnn_bigru_attention_lite_v1,modality_shared_sensorattn_v3,macro_f1,-0.16678161180510526,0.23747834041195864,-0.2778701899304533,-0.0576804288569787,18
rescnn_bigru_attention_lite_v1,tcn_literature_v1,macro_f1,-0.05405242341542639,0.16316425271802898,-0.13207156802854467,0.018887078493355712,18
rescnn_bigru_attention_lite_v1,transformer_encoder_lite_v1,macro_f1,-0.011082014472652236,0.10992310295276268,-0.061807922294700716,0.03953610233280412,18
