reference_model,comparison_model,metric,mean_difference,std_difference,ci_low,ci_high,n_pairs
channel_shared_posres_attention_v3,channel_shared_posres_attention_v3_no_identity,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,channel_shared_posres_attention_v3_no_residual,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,channel_shared_posres_attention_v3_residual_only_mlp,macro_f1,0.0,0.0,0.0,0.0,0
channel_shared_posres_attention_v3,channel_shared_posres_meanpool_v3_no_attention,macro_f1,0.0,0.0,0.0,0.0,0
feature_random_forest_v1,channel_shared_posres_attention_v3_no_identity,macro_f1,0.0,0.0,0.0,0.0,0
feature_random_forest_v1,channel_shared_posres_attention_v3_no_residual,macro_f1,0.0,0.0,0.0,0.0,0
feature_random_forest_v1,channel_shared_posres_attention_v3_residual_only_mlp,macro_f1,0.0,0.0,0.0,0.0,0
feature_random_forest_v1,channel_shared_posres_meanpool_v3_no_attention,macro_f1,0.0,0.0,0.0,0.0,0
rescnn_bigru_attention_lite_v1,channel_shared_posres_attention_v3_no_identity,macro_f1,0.0,0.0,0.0,0.0,0
rescnn_bigru_attention_lite_v1,channel_shared_posres_attention_v3_no_residual,macro_f1,0.0,0.0,0.0,0.0,0
rescnn_bigru_attention_lite_v1,channel_shared_posres_attention_v3_residual_only_mlp,macro_f1,0.0,0.0,0.0,0.0,0
rescnn_bigru_attention_lite_v1,channel_shared_posres_meanpool_v3_no_attention,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,channel_shared_posres_attention_v3_no_identity,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,channel_shared_posres_attention_v3_no_residual,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,channel_shared_posres_attention_v3_residual_only_mlp,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_small,channel_shared_posres_meanpool_v3_no_attention,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,channel_shared_posres_attention_v3_no_identity,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,channel_shared_posres_attention_v3_no_residual,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,channel_shared_posres_attention_v3_residual_only_mlp,macro_f1,0.0,0.0,0.0,0.0,0
all_channel_conv1d_v1,channel_shared_posres_meanpool_v3_no_attention,macro_f1,0.0,0.0,0.0,0.0,0
