model_name,test_subject,test_accuracy,test_macro_f1,class0_f1,class1_f1,class2_f1,class3_f1,class4_f1
channel_shared_posres_attention_v3_no_identity,1,0.7966666666666665,0.7870721076337747,0.8473748473748474,0.7665459946161701,0.685436567789509,0.7871345029239766,0.8488686254643701
channel_shared_posres_attention_v3_no_identity,2,0.8033333333333333,0.7932108047351072,0.738220087946864,0.9116809116809117,0.8653439153439154,0.4854469854469854,0.9653621232568601
channel_shared_posres_attention_v3_no_identity,3,0.8133333333333335,0.8106588863152154,0.6720249085840484,0.8665303959421605,0.7446354342208741,0.778233774129807,0.991869918699187
channel_shared_posres_attention_v3_no_identity,4,0.9066666666666667,0.9062288206190646,0.8292102206736353,0.9914529914529915,0.8275352275352276,0.8988186793064842,0.9841269841269842
channel_shared_posres_attention_v3_no_identity,5,0.62,0.5588088436543018,0.0,0.6710488902269724,0.931038869421411,0.7856713856713856,0.4062850729517396
channel_shared_posres_attention_v3_no_identity,6,0.75,0.7487665130729639,0.6403788846317582,0.8971762460134554,0.6439665471923537,0.6241446725317693,0.9381662149954834
channel_shared_posres_attention_v3_no_residual,1,0.5033333333333333,0.4717429186936229,0.22802687508569863,0.6611359122232229,0.3605055075643311,0.4890756302521009,0.6199706683427614
channel_shared_posres_attention_v3_no_residual,2,0.5766666666666667,0.5263015091293636,0.4745888840091738,0.5714285714285715,0.6036231884057971,0.2920012119375852,0.68986568986569
channel_shared_posres_attention_v3_no_residual,3,0.7133333333333334,0.7020494220452823,0.7062569213732005,0.5270350564468211,0.686920909882926,0.7259991348041662,0.8640350877192983
channel_shared_posres_attention_v3_no_residual,4,0.7533333333333333,0.7441626431365486,0.6523809523809524,0.8627980206927575,0.6226490596238495,0.7111903111903112,0.8717948717948718
channel_shared_posres_attention_v3_no_residual,5,0.44,0.3689312943892383,0.0,0.5055629728526925,0.8190365190365191,0.39185185185185184,0.1282051282051282
channel_shared_posres_attention_v3_no_residual,6,0.77,0.7491314569586826,0.6494949494949495,0.9743260590500643,0.6765213106676522,0.5823361823361823,0.862978783244564
channel_shared_posres_attention_v3_residual_only_mlp,1,0.8933333333333332,0.8933063219052583,0.8887624466571835,0.8714354428640143,0.8421052631578947,0.926479169097911,0.9377492877492878
channel_shared_posres_attention_v3_residual_only_mlp,2,0.66,0.6440730016690625,0.555792311236464,0.8532258064516131,0.5094017094017095,0.32758620689655166,0.9743589743589743
channel_shared_posres_attention_v3_residual_only_mlp,3,0.8566666666666668,0.856530184644483,0.8925925925925927,0.8861317893575958,0.7507203598285193,0.7853393599183495,0.9678668215253582
channel_shared_posres_attention_v3_residual_only_mlp,4,0.9199999999999999,0.919795086693183,0.908058608058608,1.0,0.8422308188265636,0.8486860065807434,1.0
channel_shared_posres_attention_v3_residual_only_mlp,5,0.7399999999999999,0.7148020938981827,0.4131734006734007,0.728142375353204,0.6297360578969774,0.8767399267399267,0.9262187088274046
channel_shared_posres_attention_v3_residual_only_mlp,6,0.7966666666666665,0.7930909791565193,0.8080050031269543,0.9489698757991439,0.7103465612593401,0.5797413793103448,0.9183920762868132
channel_shared_posres_meanpool_v3_no_attention,1,0.9033333333333333,0.9054728106867067,0.8848729210166318,0.8492956319043276,0.9089089089089089,0.9404526477697209,0.9438339438339437
channel_shared_posres_meanpool_v3_no_attention,2,0.71,0.6889319450990335,0.6240776193751046,0.8756580646442974,0.6181818181818182,0.352383248934973,0.9743589743589743
channel_shared_posres_meanpool_v3_no_attention,3,0.8433333333333334,0.8462092123229231,0.8205190395343197,0.8720957799905168,0.7929198429198429,0.7617715617715617,0.983739837398374
channel_shared_posres_meanpool_v3_no_attention,4,0.9166666666666666,0.9164332298765584,0.8817663817663819,1.0,0.8348643226692007,0.8655354449472096,1.0
channel_shared_posres_meanpool_v3_no_attention,5,0.6766666666666666,0.6517275530623854,0.20833333333333334,0.594097417926663,0.7849252761533464,0.7317256404477499,0.9395560974508342
channel_shared_posres_meanpool_v3_no_attention,6,0.8466666666666667,0.840549633064561,0.8363944959689641,0.9413992297817715,0.8314507198228128,0.6656284760845385,0.9278752436647174
