feature_name,channel_name,statistic,mean_importance,std_importance,n
s1_ax_std,s1_ax,std,0.0674416720867157,0.019012955612282032,18
s1_gx_mean,s1_gx,mean,0.06564743485715654,0.012162442497697537,18
s1_ax_energy,s1_ax,energy,0.06006597375704183,0.01358341791232322,18
s0_ax_mean,s0_ax,mean,0.03207558059754471,0.0206633164655426,18
s0_az_std,s0_az,std,0.030333431178910866,0.017366789108808397,18
s0_ax_median,s0_ax,median,0.02245824470527522,0.024756314573798475,18
s2_gy_max,s2_gy,max,0.019720920371279742,0.011255945261156962,18
s2_az_median,s2_az,median,0.019524071913717005,0.018805586630054653,18
s0_ay_median,s0_ay,median,0.018223141190699406,0.01009113627633437,18
s1_az_mean,s1_az,mean,0.016955283027426857,0.010730829828467441,18
s1_gy_mean,s1_gy,mean,0.01668420656480723,0.00831686911804487,18
s2_gy_std,s2_gy,std,0.01661367119393415,0.007219877220993135,18
s2_ay_mean,s2_ay,mean,0.01586356430521442,0.00809565986637802,18
s1_ax_max,s1_ax,max,0.015384380932017747,0.010442466800615923,18
s0_az_energy,s0_az,energy,0.01518731368964331,0.012872640649639637,18
s2_az_mean,s2_az,mean,0.014973173124922646,0.007818134856492652,18
s1_gy_dominant_freq_bin,s1_gy,dominant_freq_bin,0.012641153964472728,0.01916761747434178,18
s2_az_energy,s2_az,energy,0.011709842623935806,0.003044775252105224,18
s2_gy_ptp,s2_gy,ptp,0.011707880864075074,0.013946032410676336,18
s0_ax_energy,s0_ax,energy,0.011543893423448835,0.012443765448487314,18
s1_gy_min,s1_gy,min,0.011515503254486248,0.013161384497414726,18
s0_gz_ptp,s0_gz,ptp,0.011231038655953145,0.01624747411679293,18
s1_ay_mean,s1_ay,mean,0.010984172164979909,0.009973337598111547,18
s0_az_min,s0_az,min,0.010842550781995265,0.011289097688221459,18
s2_gy_min,s2_gy,min,0.010637257312838402,0.020497672606702103,18
s1_az_energy,s1_az,energy,0.010575093367757896,0.006643664300679563,18
s2_az_std,s2_az,std,0.010140397094397081,0.0044978447742405935,18
s2_gy_energy,s2_gy,energy,0.010061144916107878,0.01230428678121232,18
s0_ay_mean,s0_ay,mean,0.009926946199912991,0.004014128727214086,18
s1_ax_min,s1_ax,min,0.009780453667594379,0.008142837488281514,18
s2_ay_ptp,s2_ay,ptp,0.009740431259463852,0.0121659878975499,18
s0_gy_std,s0_gy,std,0.00958859670208767,0.018128892441231878,18
s2_gy_mean,s2_gy,mean,0.009368066352585124,0.004088431556866169,18
s1_gz_std,s1_gz,std,0.009311991666133205,0.005820187196692417,18
s0_gy_min,s0_gy,min,0.008683219377417117,0.00961972365449738,18
s1_gy_max,s1_gy,max,0.008392646847318651,0.007188868716128728,18
s0_ay_dominant_freq_bin,s0_ay,dominant_freq_bin,0.00827084414696502,0.019514504586379783,18
s0_ax_ptp,s0_ax,ptp,0.00824462071755584,0.010100151216007226,18
s0_gy_dominant_freq_bin,s0_gy,dominant_freq_bin,0.007859875241087543,0.01591827390769814,18
s1_gy_ptp,s1_gy,ptp,0.0074239794438552865,0.010154434296347515,18
s2_gx_max,s2_gx,max,0.007250061711399919,0.01221944299111504,18
s0_az_mean,s0_az,mean,0.007126389139254267,0.0073150059836914255,18
s1_ax_median,s1_ax,median,0.0070802175582179595,0.003067861907788402,18
s2_ay_min,s2_ay,min,0.00693985549474342,0.006480866849008833,18
s2_ax_min,s2_ax,min,0.006835759723293854,0.006922824498702689,18
s2_gz_std,s2_gz,std,0.006814169687762235,0.01173129094931687,18
s2_ax_mean,s2_ax,mean,0.00661639500887961,0.0043609934265335755,18
s1_gz_min,s1_gz,min,0.00650521861259929,0.004362264840218587,18
s0_gx_ptp,s0_gx,ptp,0.006467134742706548,0.01062274404166848,18
s1_ax_mean,s1_ax,mean,0.006329495129951586,0.003197789854017378,18
s2_gz_min,s2_gz,min,0.00628385742149678,0.0194713650730557,18
s0_ay_max,s0_ay,max,0.006075680834732743,0.005144860398585042,18
s2_az_ptp,s2_az,ptp,0.005564155175003786,0.006909327046321733,18
s0_ax_std,s0_ax,std,0.005514275101530883,0.003188511114121322,18
s0_gx_mean,s0_gx,mean,0.005471903929396326,0.005410233315526474,18
s1_gy_std,s1_gy,std,0.005431916317320429,0.00874015817373965,18
s0_az_max,s0_az,max,0.005389637682431688,0.005053206461618328,18
s0_gz_min,s0_gz,min,0.005148433119757101,0.007313789631815661,18
s0_ax_min,s0_ax,min,0.005075026153159949,0.003874706461575725,18
s2_ay_median,s2_ay,median,0.004976226517707498,0.007362196722472955,18
s2_gy_dominant_freq_bin,s2_gy,dominant_freq_bin,0.0049471855503118905,0.010530521024085407,18
s0_az_ptp,s0_az,ptp,0.004903660724974341,0.006736325139557184,18
s1_ay_median,s1_ay,median,0.0046795910352051984,0.0056844865986566025,18
s1_ax_ptp,s1_ax,ptp,0.004549345273214082,0.0037747492886921973,18
s0_az_median,s0_az,median,0.004487727464745856,0.0055315586443980104,18
s0_gy_energy,s0_gy,energy,0.004235656834983577,0.015291795948725444,18
s2_gz_max,s2_gz,max,0.004139025649338792,0.00665726796624943,18
s1_gz_ptp,s1_gz,ptp,0.004132044351232859,0.0055738956434445265,18
s0_ay_energy,s0_ay,energy,0.003923926369882085,0.004731146176604768,18
s2_gx_std,s2_gx,std,0.0038794596103899595,0.002993161913768518,18
s2_gz_median,s2_gz,median,0.0036995532629791545,0.0077161476642399005,18
s0_gz_mean,s0_gz,mean,0.0036571320524672046,0.0028752282922218063,18
s1_gz_mean,s1_gz,mean,0.003642151626991108,0.0023704643798165524,18
s1_gz_max,s1_gz,max,0.003572914683900308,0.005066337521541555,18
s1_ay_std,s1_ay,std,0.00354062841183299,0.0043630059216274416,18
s0_gy_mean,s0_gy,mean,0.0035150311078824517,0.002783301201198323,18
s2_az_max,s2_az,max,0.003512291452453711,0.002383569548640949,18
s2_ax_median,s2_ax,median,0.00345088279088183,0.003082035033203414,18
s0_gz_std,s0_gz,std,0.0034501193036299404,0.00348981551919493,18
s0_gx_std,s0_gx,std,0.0033534502092354363,0.0038625043368329696,18
s2_ax_dominant_freq_bin,s2_ax,dominant_freq_bin,0.0033035184072408206,0.002907485172807571,18
s0_ax_max,s0_ax,max,0.0032765850280864267,0.004845190174931329,18
s1_az_std,s1_az,std,0.003260390191220116,0.0035921612359965586,18
s2_ax_std,s2_ax,std,0.0032318298666117093,0.004553894141668424,18
s0_gy_ptp,s0_gy,ptp,0.0031672972480818215,0.00428347302133818,18
s1_gx_ptp,s1_gx,ptp,0.003089902994260127,0.002304907758340785,18
s2_ay_max,s2_ay,max,0.0030788254933011355,0.005367929103991833,18
s2_ax_energy,s2_ax,energy,0.0029562423959659,0.003843595609346377,18
s0_gz_max,s0_gz,max,0.002819733467024182,0.004739678616784807,18
s2_ay_energy,s2_ay,energy,0.0027931112057962715,0.004624900160478532,18
s1_gx_min,s1_gx,min,0.0027504957656169105,0.003095295844950322,18
s0_gz_energy,s0_gz,energy,0.002736150066892959,0.00398208683477099,18
s2_az_min,s2_az,min,0.002610104226429636,0.003328267216705621,18
s1_ay_ptp,s1_ay,ptp,0.002605800588046097,0.0044466209498351264,18
s2_ax_ptp,s2_ax,ptp,0.002515349976925386,0.003070951602741631,18
s1_gx_median,s1_gx,median,0.0024746153999836273,0.0038264315115782324,18
s1_gx_max,s1_gx,max,0.002465056712430346,0.002878483352344375,18
s2_gx_mean,s2_gx,mean,0.0024498260318068787,0.003758914908141342,18
